county,precinct,office,district,candidate,party,total
Montgomery,Kilmichael,State House,46,Karl Oliver,Republican,216
Montgomery,Kilmichael,State House,46,Ken Strachan,Democrat,199
Montgomery,Lodi,Governor,,Phil  Bryant,Republican,55
Montgomery,Lodi,Governor,,Robert  Gray,Democrat,117
Montgomery,Lodi,Governor,,Shawn  O'Hara,Reform,1
Montgomery,Lodi,Lieutenant Governor,,Tim  Johnson,Democrat,111
Montgomery,Lodi,Lieutenant Governor,,Tate  Reeves,Republican,44
Montgomery,Lodi,Lieutenant Governor,,Ron  Williams,Libertarian,11
Montgomery,Lodi,Lieutenant Governor,,Rosa  B.  Williams,Reform,1
Montgomery,Lodi,Secretary of State,,Charles  E.  Graham,Democrat,125
Montgomery,Lodi,Secretary of State,,Delbert  Hosemann,Republican,36
Montgomery,Lodi,Secretary of State,,Randy  Walker,Reform,6
Montgomery,Lodi,Attorney General,,Jim  Hood,Democrat,138
Montgomery,Lodi,Attorney General,,Mike  Hurst,Republican,32
Montgomery,Lodi,State Auditor,,Stacey  E.  Pickering,Republican,44
Montgomery,Lodi,State Auditor,,Jocelyn Pepper Pritchett,Democrat,125
Montgomery,Lodi,State Auditor,,Lajena  Walley,Reform,2
Montgomery,Lodi,State Treasurer,,Lynn Fitch,Republican,60
Montgomery,Lodi,State Treasurer,,Viola McFarland,Reform,79
Montgomery,Lodi,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,130
Montgomery,Lodi,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,39
Montgomery,Lodi,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,1
Montgomery,Lodi,Commissioner of Insurance,,Mike Chaney,Republican,98
Montgomery,Lodi,State Senate,15,Gary Johnson,Republican,39
Montgomery,Lodi,State Senate,15,Cecil Simmons,Democrat,129
Montgomery,Lodi,State House,46,Karl Oliver,Republican,39
Montgomery,Lodi,State House,46,Ken Strachan,Democrat,134
Montgomery,Mt Pisgah,Governor,,Phil  Bryant,Republican,102
Montgomery,Mt Pisgah,Governor,,Robert  Gray,Democrat,10
Montgomery,Mt Pisgah,Governor,,Shawn  O'Hara,Reform,3
Montgomery,Mt Pisgah,Lieutenant Governor,,Tim  Johnson,Democrat,13
Montgomery,Mt Pisgah,Lieutenant Governor,,Tate  Reeves,Republican,99
Montgomery,Mt Pisgah,Lieutenant Governor,,Ron  Williams,Libertarian,2
Montgomery,Mt Pisgah,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Montgomery,Mt Pisgah,Secretary of State,,Charles  E.  Graham,Democrat,18
Montgomery,Mt Pisgah,Secretary of State,,Delbert  Hosemann,Republican,87
Montgomery,Mt Pisgah,Secretary of State,,Randy  Walker,Reform,6
Montgomery,Mt Pisgah,Attorney General,,Jim  Hood,Democrat,48
Montgomery,Mt Pisgah,Attorney General,,Mike  Hurst,Republican,67
Montgomery,Mt Pisgah,State Auditor,,Stacey  E.  Pickering,Republican,97
Montgomery,Mt Pisgah,State Auditor,,Jocelyn Pepper Pritchett,Democrat,12
Montgomery,Mt Pisgah,State Auditor,,Lajena  Walley,Reform,3
Montgomery,Mt Pisgah,State Treasurer,,Lynn Fitch,Republican,97
Montgomery,Mt Pisgah,State Treasurer,,Viola McFarland,Reform,10
Montgomery,Mt Pisgah,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,13
Montgomery,Mt Pisgah,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,95
Montgomery,Mt Pisgah,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,4
Montgomery,Mt Pisgah,Commissioner of Insurance,,Mike Chaney,Republican,106
Montgomery,Mt Pisgah,State Senate,14,Lydia Graves Chassaniol,Republican,48
Montgomery,Mt Pisgah,State Senate,14,Georgio Proctor,Democrat,7
Montgomery,Mt Pisgah,State Senate,14,Donny Ryals,Independent,59
Montgomery,Mt Pisgah,State House,46,Karl Oliver,Republican,78
Montgomery,Mt Pisgah,State House,46,Ken Strachan,Democrat,33
Montgomery,North Duck Hill,Governor,,Phil  Bryant,Republican,75
Montgomery,North Duck Hill,Governor,,Robert  Gray,Democrat,55
Montgomery,North Duck Hill,Governor,,Shawn  O'Hara,Reform,0
Montgomery,North Duck Hill,Lieutenant Governor,,Tim  Johnson,Democrat,58
Montgomery,North Duck Hill,Lieutenant Governor,,Tate  Reeves,Republican,66
Montgomery,North Duck Hill,Lieutenant Governor,,Ron  Williams,Libertarian,4
Montgomery,North Duck Hill,Lieutenant Governor,,Rosa  B.  Williams,Reform,0
Montgomery,North Duck Hill,Secretary of State,,Charles  E.  Graham,Democrat,61
Montgomery,North Duck Hill,Secretary of State,,Delbert  Hosemann,Republican,61
Montgomery,North Duck Hill,Secretary of State,,Randy  Walker,Reform,5
Montgomery,North Duck Hill,Attorney General,,Jim  Hood,Democrat,87
Montgomery,North Duck Hill,Attorney General,,Mike  Hurst,Republican,41
Montgomery,North Duck Hill,State Auditor,,Stacey  E.  Pickering,Republican,69
Montgomery,North Duck Hill,State Auditor,,Jocelyn Pepper Pritchett,Democrat,57
Montgomery,North Duck Hill,State Auditor,,Lajena  Walley,Reform,0
Montgomery,North Duck Hill,State Treasurer,,Lynn Fitch,Republican,82
Montgomery,North Duck Hill,State Treasurer,,Viola McFarland,Reform,20
Montgomery,North Duck Hill,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,62
Montgomery,North Duck Hill,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,61
Montgomery,North Duck Hill,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,2
Montgomery,North Duck Hill,Commissioner of Insurance,,Mike Chaney,Republican,89
Montgomery,North Duck Hill,State Senate,14,Lydia Graves Chassaniol,Republican,40
Montgomery,North Duck Hill,State Senate,14,Georgio Proctor,Democrat,49
Montgomery,North Duck Hill,State Senate,14,Donny Ryals,Independent,40
Montgomery,North Duck Hill,State House,46,Karl Oliver,Republican,62
Montgomery,North Duck Hill,State House,46,Ken Strachan,Democrat,66
Montgomery,North Kilmichael,Governor,,Phil  Bryant,Republican,14
Montgomery,North Kilmichael,Governor,,Robert  Gray,Democrat,63
Montgomery,North Kilmichael,Governor,,Shawn  O'Hara,Reform,1
Montgomery,North Kilmichael,Lieutenant Governor,,Tim  Johnson,Democrat,59
Montgomery,North Kilmichael,Lieutenant Governor,,Tate  Reeves,Republican,11
Montgomery,North Kilmichael,Lieutenant Governor,,Ron  Williams,Libertarian,1
Montgomery,North Kilmichael,Lieutenant Governor,,Rosa  B.  Williams,Reform,6
Montgomery,North Kilmichael,Secretary of State,,Charles  E.  Graham,Democrat,65
Montgomery,North Kilmichael,Secretary of State,,Delbert  Hosemann,Republican,9
Montgomery,North Kilmichael,Secretary of State,,Randy  Walker,Reform,2
Montgomery,North Kilmichael,Attorney General,,Jim  Hood,Democrat,71
Montgomery,North Kilmichael,Attorney General,,Mike  Hurst,Republican,7
Montgomery,North Kilmichael,State Auditor,,Stacey  E.  Pickering,Republican,13
Montgomery,North Kilmichael,State Auditor,,Jocelyn Pepper Pritchett,Democrat,64
Montgomery,North Kilmichael,State Auditor,,Lajena  Walley,Reform,1
Montgomery,North Kilmichael,State Treasurer,,Lynn Fitch,Republican,19
Montgomery,North Kilmichael,State Treasurer,,Viola McFarland,Reform,36
Montgomery,North Kilmichael,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,67
Montgomery,North Kilmichael,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,9
Montgomery,North Kilmichael,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,1
Montgomery,North Kilmichael,Commissioner of Insurance,,Mike Chaney,Republican,31
Montgomery,North Kilmichael,State Senate,15,Gary Johnson,Republican,11
Montgomery,North Kilmichael,State Senate,15,Cecil Simmons,Democrat,65
Montgomery,North Kilmichael,State House,46,Karl Oliver,Republican,14
Montgomery,North Kilmichael,State House,46,Ken Strachan,Democrat,64
Montgomery,N Mt Pisgah Sweethome,Governor,,Phil  Bryant,Republican,58
Montgomery,N Mt Pisgah Sweethome,Governor,,Robert  Gray,Democrat,34
Montgomery,N Mt Pisgah Sweethome,Governor,,Shawn  O'Hara,Reform,1
Montgomery,N Mt Pisgah Sweethome,Lieutenant Governor,,Tim  Johnson,Democrat,31
Montgomery,N Mt Pisgah Sweethome,Lieutenant Governor,,Tate  Reeves,Republican,51
Montgomery,N Mt Pisgah Sweethome,Lieutenant Governor,,Ron  Williams,Libertarian,5
Montgomery,N Mt Pisgah Sweethome,Lieutenant Governor,,Rosa  B.  Williams,Reform,0
Montgomery,N Mt Pisgah Sweethome,Secretary of State,,Charles  E.  Graham,Democrat,38
Montgomery,N Mt Pisgah Sweethome,Secretary of State,,Delbert  Hosemann,Republican,49
Montgomery,N Mt Pisgah Sweethome,Secretary of State,,Randy  Walker,Reform,3
Montgomery,N Mt Pisgah Sweethome,Attorney General,,Jim  Hood,Democrat,55
Montgomery,N Mt Pisgah Sweethome,Attorney General,,Mike  Hurst,Republican,37
Montgomery,N Mt Pisgah Sweethome,State Auditor,,Stacey  E.  Pickering,Republican,55
Montgomery,N Mt Pisgah Sweethome,State Auditor,,Jocelyn Pepper Pritchett,Democrat,33
Montgomery,N Mt Pisgah Sweethome,State Auditor,,Lajena  Walley,Reform,1
Montgomery,N Mt Pisgah Sweethome,State Treasurer,,Lynn Fitch,Republican,60
Montgomery,N Mt Pisgah Sweethome,State Treasurer,,Viola McFarland,Reform,24
Montgomery,N Mt Pisgah Sweethome,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,41
Montgomery,N Mt Pisgah Sweethome,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,48
Montgomery,N Mt Pisgah Sweethome,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,3
Montgomery,N Mt Pisgah Sweethome,Commissioner of Insurance,,Mike Chaney,Republican,71
Montgomery,N Mt Pisgah Sweethome,State Senate,14,Lydia Graves Chassaniol,Republican,29
Montgomery,N Mt Pisgah Sweethome,State Senate,14,Georgio Proctor,Democrat,34
Montgomery,N Mt Pisgah Sweethome,State Senate,14,Donny Ryals,Independent,30
Montgomery,N Mt Pisgah Sweethome,State House,46,Karl Oliver,Republican,52
Montgomery,N Mt Pisgah Sweethome,State House,46,Ken Strachan,Democrat,42
Montgomery,North Winona,Governor,,Phil  Bryant,Republican,518
Montgomery,North Winona,Governor,,Robert  Gray,Democrat,77
Montgomery,North Winona,Governor,,Shawn  O'Hara,Reform,6
Montgomery,North Winona,Lieutenant Governor,,Tim  Johnson,Democrat,101
Montgomery,North Winona,Lieutenant Governor,,Tate  Reeves,Republican,469
Montgomery,North Winona,Lieutenant Governor,,Ron  Williams,Libertarian,15
Montgomery,North Winona,Lieutenant Governor,,Rosa  B.  Williams,Reform,1
Montgomery,North Winona,Secretary of State,,Charles  E.  Graham,Democrat,90
Montgomery,North Winona,Secretary of State,,Delbert  Hosemann,Republican,480
Montgomery,North Winona,Secretary of State,,Randy  Walker,Reform,24
Montgomery,North Winona,Attorney General,,Jim  Hood,Democrat,257
Montgomery,North Winona,Attorney General,,Mike  Hurst,Republican,332
Montgomery,North Winona,State Auditor,,Stacey  E.  Pickering,Republican,503
Montgomery,North Winona,State Auditor,,Jocelyn Pepper Pritchett,Democrat,81
Montgomery,North Winona,State Auditor,,Lajena  Walley,Reform,4
Montgomery,North Winona,State Treasurer,,Lynn Fitch,Republican,523
Montgomery,North Winona,State Treasurer,,Viola McFarland,Reform,44
Montgomery,North Winona,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,84
Montgomery,North Winona,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,471
Montgomery,North Winona,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,18
Montgomery,North Winona,Commissioner of Insurance,,Mike Chaney,Republican,541
Montgomery,North Winona,State Senate,14,Lydia Graves Chassaniol,Republican,374
Montgomery,North Winona,State Senate,14,Georgio Proctor,Democrat,62
Montgomery,North Winona,State Senate,14,Donny Ryals,Independent,160
Montgomery,North Winona,State House,46,Karl Oliver,Republican,468
Montgomery,North Winona,State House,46,Ken Strachan,Democrat,131
Montgomery,Nations,Governor,,Phil  Bryant,Republican,168
Montgomery,Nations,Governor,,Robert  Gray,Democrat,16
Montgomery,Nations,Governor,,Shawn  O'Hara,Reform,1
Montgomery,Nations,Lieutenant Governor,,Tim  Johnson,Democrat,30
Montgomery,Nations,Lieutenant Governor,,Tate  Reeves,Republican,144
Montgomery,Nations,Lieutenant Governor,,Ron  Williams,Libertarian,0
Montgomery,Nations,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Montgomery,Nations,Secretary of State,,Charles  E.  Graham,Democrat,26
Montgomery,Nations,Secretary of State,,Delbert  Hosemann,Republican,140
Montgomery,Nations,Secretary of State,,Randy  Walker,Reform,9
Montgomery,Nations,Attorney General,,Jim  Hood,Democrat,75
Montgomery,Nations,Attorney General,,Mike  Hurst,Republican,105
Montgomery,Nations,State Auditor,,Stacey  E.  Pickering,Republican,157
Montgomery,Nations,State Auditor,,Jocelyn Pepper Pritchett,Democrat,18
Montgomery,Nations,State Auditor,,Lajena  Walley,Reform,2
Montgomery,Nations,State Treasurer,,Lynn Fitch,Republican,160
Montgomery,Nations,State Treasurer,,Viola McFarland,Reform,10
Montgomery,Nations,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,24
Montgomery,Nations,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,143
Montgomery,Nations,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,7
Montgomery,Nations,Commissioner of Insurance,,Mike Chaney,Republican,168
Montgomery,Nations,State Senate,15,Gary Johnson,Republican,147
Montgomery,Nations,State Senate,15,Cecil Simmons,Democrat,31
Montgomery,Nations,State House,46,Karl Oliver,Republican,148
Montgomery,Nations,State House,46,Ken Strachan,Democrat,34
Montgomery,Poplar Creek,Governor,,Phil  Bryant,Republican,66
Montgomery,Poplar Creek,Governor,,Robert  Gray,Democrat,7
Montgomery,Poplar Creek,Governor,,Shawn  O'Hara,Reform,1
Montgomery,Poplar Creek,Lieutenant Governor,,Tim  Johnson,Democrat,17
Montgomery,Poplar Creek,Lieutenant Governor,,Tate  Reeves,Republican,55
Montgomery,Poplar Creek,Lieutenant Governor,,Ron  Williams,Libertarian,0
Montgomery,Poplar Creek,Lieutenant Governor,,Rosa  B.  Williams,Reform,0
Montgomery,Poplar Creek,Secretary of State,,Charles  E.  Graham,Democrat,13
Montgomery,Poplar Creek,Secretary of State,,Delbert  Hosemann,Republican,51
Montgomery,Poplar Creek,Secretary of State,,Randy  Walker,Reform,7
Montgomery,Poplar Creek,Attorney General,,Jim  Hood,Democrat,36
Montgomery,Poplar Creek,Attorney General,,Mike  Hurst,Republican,38
Montgomery,Poplar Creek,State Auditor,,Stacey  E.  Pickering,Republican,60
Montgomery,Poplar Creek,State Auditor,,Jocelyn Pepper Pritchett,Democrat,12
Montgomery,Poplar Creek,State Auditor,,Lajena  Walley,Reform,0
Montgomery,Poplar Creek,State Treasurer,,Lynn Fitch,Republican,62
Montgomery,Poplar Creek,State Treasurer,,Viola McFarland,Reform,6
Montgomery,Poplar Creek,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,10
Montgomery,Poplar Creek,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,57
Montgomery,Poplar Creek,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,1
Montgomery,Poplar Creek,Commissioner of Insurance,,Mike Chaney,Republican,60
Montgomery,Poplar Creek,State Senate,15,Gary Johnson,Republican,56
Montgomery,Poplar Creek,State Senate,15,Cecil Simmons,Democrat,16
Montgomery,Poplar Creek,State House,46,Karl Oliver,Republican,56
Montgomery,Poplar Creek,State House,46,Ken Strachan,Democrat,17
Montgomery,South Winona,Governor,,Phil  Bryant,Republican,237
Montgomery,South Winona,Governor,,Robert  Gray,Democrat,403
Montgomery,South Winona,Governor,,Shawn  O'Hara,Reform,8
Montgomery,South Winona,Lieutenant Governor,,Tim  Johnson,Democrat,408
Montgomery,South Winona,Lieutenant Governor,,Tate  Reeves,Republican,210
Montgomery,South Winona,Lieutenant Governor,,Ron  Williams,Libertarian,15
Montgomery,South Winona,Lieutenant Governor,,Rosa  B.  Williams,Reform,6
Montgomery,South Winona,Secretary of State,,Charles  E.  Graham,Democrat,421
Montgomery,South Winona,Secretary of State,,Delbert  Hosemann,Republican,189
Montgomery,South Winona,Secretary of State,,Randy  Walker,Reform,23
Montgomery,South Winona,Attorney General,,Jim  Hood,Democrat,493
Montgomery,South Winona,Attorney General,,Mike  Hurst,Republican,140
Montgomery,South Winona,State Auditor,,Stacey  E.  Pickering,Republican,212
Montgomery,South Winona,State Auditor,,Jocelyn Pepper Pritchett,Democrat,419
Montgomery,South Winona,State Auditor,,Lajena  Walley,Reform,8
Montgomery,South Winona,State Treasurer,,Lynn Fitch,Republican,281
Montgomery,South Winona,State Treasurer,,Viola McFarland,Reform,234
Montgomery,South Winona,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,431
Montgomery,South Winona,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,192
Montgomery,South Winona,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,12
Montgomery,South Winona,Commissioner of Insurance,,Mike Chaney,Republican,430
Montgomery,South Winona,State Senate,14,Lydia Graves Chassaniol,Republican,167
Montgomery,South Winona,State Senate,14,Georgio Proctor,Democrat,414
Montgomery,South Winona,State Senate,14,Donny Ryals,Independent,57
Montgomery,South Winona,State House,46,Karl Oliver,Republican,187
Montgomery,South Winona,State House,46,Ken Strachan,Democrat,465
Montgomery,Southeast Winona,Governor,,Phil  Bryant,Republican,94
Montgomery,Southeast Winona,Governor,,Robert  Gray,Democrat,39
Montgomery,Southeast Winona,Governor,,Shawn  O'Hara,Reform,1
Montgomery,Southeast Winona,Lieutenant Governor,,Tim  Johnson,Democrat,44
Montgomery,Southeast Winona,Lieutenant Governor,,Tate  Reeves,Republican,85
Montgomery,Southeast Winona,Lieutenant Governor,,Ron  Williams,Libertarian,1
Montgomery,Southeast Winona,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Montgomery,Southeast Winona,Secretary of State,,Charles  E.  Graham,Democrat,51
Montgomery,Southeast Winona,Secretary of State,,Delbert  Hosemann,Republican,77
Montgomery,Southeast Winona,Secretary of State,,Randy  Walker,Reform,3
Montgomery,Southeast Winona,Attorney General,,Jim  Hood,Democrat,74
Montgomery,Southeast Winona,Attorney General,,Mike  Hurst,Republican,56
Montgomery,Southeast Winona,State Auditor,,Stacey  E.  Pickering,Republican,89
Montgomery,Southeast Winona,State Auditor,,Jocelyn Pepper Pritchett,Democrat,42
Montgomery,Southeast Winona,State Auditor,,Lajena  Walley,Reform,0
Montgomery,Southeast Winona,State Treasurer,,Lynn Fitch,Republican,97
Montgomery,Southeast Winona,State Treasurer,,Viola McFarland,Reform,28
Montgomery,Southeast Winona,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,45
Montgomery,Southeast Winona,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,85
Montgomery,Southeast Winona,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,1
Montgomery,Southeast Winona,Commissioner of Insurance,,Mike Chaney,Republican,116
Montgomery,Southeast Winona,State Senate,14,Lydia Graves Chassaniol,Republican,80
Montgomery,Southeast Winona,State Senate,14,Georgio Proctor,Democrat,39
Montgomery,Southeast Winona,State Senate,14,Donny Ryals,Independent,14
Montgomery,Southeast Winona,State House,46,Karl Oliver,Republican,77
Montgomery,Southeast Winona,State House,46,Ken Strachan,Democrat,56
Montgomery,Stewart,Governor,,Phil  Bryant,Republican,52
Montgomery,Stewart,Governor,,Robert  Gray,Democrat,4
Montgomery,Stewart,Governor,,Shawn  O'Hara,Reform,0
Montgomery,Stewart,Lieutenant Governor,,Tim  Johnson,Democrat,5
Montgomery,Stewart,Lieutenant Governor,,Tate  Reeves,Republican,51
Montgomery,Stewart,Lieutenant Governor,,Ron  Williams,Libertarian,1
Montgomery,Stewart,Lieutenant Governor,,Rosa  B.  Williams,Reform,1
Montgomery,Stewart,Secretary of State,,Charles  E.  Graham,Democrat,6
Montgomery,Stewart,Secretary of State,,Delbert  Hosemann,Republican,45
Montgomery,Stewart,Secretary of State,,Randy  Walker,Reform,4
Montgomery,Stewart,Attorney General,,Jim  Hood,Democrat,21
Montgomery,Stewart,Attorney General,,Mike  Hurst,Republican,34
Montgomery,Stewart,State Auditor,,Stacey  E.  Pickering,Republican,51
Montgomery,Stewart,State Auditor,,Jocelyn Pepper Pritchett,Democrat,2
Montgomery,Stewart,State Auditor,,Lajena  Walley,Reform,1
Montgomery,Stewart,State Treasurer,,Lynn Fitch,Republican,51
Montgomery,Stewart,State Treasurer,,Viola McFarland,Reform,1
Montgomery,Stewart,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,6
Montgomery,Stewart,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,48
Montgomery,Stewart,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,2
Montgomery,Stewart,Commissioner of Insurance,,Mike Chaney,Republican,52
Montgomery,Stewart,State Senate,15,Gary Johnson,Republican,48
Montgomery,Stewart,State Senate,15,Cecil Simmons,Democrat,7
Montgomery,Stewart,State House,46,Karl Oliver,Republican,49
Montgomery,Stewart,State House,46,Ken Strachan,Democrat,7
Montgomery,West Winona,Governor,,Phil  Bryant,Republican,375
Montgomery,West Winona,Governor,,Robert  Gray,Democrat,95
Montgomery,West Winona,Governor,,Shawn  O'Hara,Reform,2
Montgomery,West Winona,Lieutenant Governor,,Tim  Johnson,Democrat,101
Montgomery,West Winona,Lieutenant Governor,,Tate  Reeves,Republican,353
Montgomery,West Winona,Lieutenant Governor,,Ron  Williams,Libertarian,11
Montgomery,West Winona,Lieutenant Governor,,Rosa  B.  Williams,Reform,4
Montgomery,West Winona,Secretary of State,,Charles  E.  Graham,Democrat,104
Montgomery,West Winona,Secretary of State,,Delbert  Hosemann,Republican,344
Montgomery,West Winona,Secretary of State,,Randy  Walker,Reform,21
