county,precinct,office,district,party,candidate,votes,polls,abs,prov
Rankin,109 W Pearl H68,Lieutenant Governor,,DEM,Tim Johnson ,66,62,1,3
Rankin,109 W Pearl H68,Lieutenant Governor,,REP,Tate Reeves ,158,154,3,1
Rankin,109 W Pearl H68,Lieutenant Governor,,LIB,Ron Williams ,8,8,0,0
Rankin,109 W Pearl H68,Lieutenant Governor,,REF,Rosa B. Williams ,2,2,0,0
Rankin,109 W Pearl H59,Secretary of State,,DEM,Charles E. Graham ,60,60,0,0
Rankin,109 W Pearl H59,Secretary of State,,REP,Delbert Hosemann ,33,32,0,1
Rankin,109 W Pearl H59,Secretary of State,,REF,Randy Walker ,0,0,0,0
Rankin,109 W Pearl H59,Secretary of State,,,Write-in,0,0,0,0
Rankin,109 W Pearl H61,Secretary of State,,DEM,Charles E. Graham ,16,16,0,0
Rankin,109 W Pearl H61,Secretary of State,,REP,Delbert Hosemann ,99,97,1,1
Rankin,109 W Pearl H61,Secretary of State,,REF,Randy Walker ,1,0,0,1
Rankin,109 W Pearl H61,Secretary of State,,,Write-in,0,0,0,0
Rankin,109 W Pearl H68,Secretary of State,,DEM,Charles E. Graham ,65,61,1,3
Rankin,109 W Pearl H68,Secretary of State,,REP,Delbert Hosemann ,165,161,3,1
Rankin,109 W Pearl H68,Secretary of State,,REF,Randy Walker ,5,5,0,0
Rankin,109 W Pearl H68,Secretary of State,,,Write-in,0,0,0,0
Rankin,109 W Pearl H59,Attorney General,,DEM,Jim Hood ,71,71,0,0
Rankin,109 W Pearl H59,Attorney General,,REP,Mike Hurst ,21,20,0,1
Rankin,109 W Pearl H59,Attorney General,,,Write-in,0,0,0,0
Rankin,109 W Pearl H61,Attorney General,,DEM,Jim Hood ,49,48,1,0
Rankin,109 W Pearl H61,Attorney General,,REP,Mike Hurst ,68,66,0,2
Rankin,109 W Pearl H61,Attorney General,,,Write-in,0,0,0,0
Rankin,109 W Pearl H68,Attorney General,,DEM,Jim Hood ,117,110,4,3
Rankin,109 W Pearl H68,Attorney General,,REP,Mike Hurst ,120,119,0,1
Rankin,109 W Pearl H68,Attorney General,,,Write-in,0,0,0,0
Rankin,109 W Pearl H59,State Auditor,,REP,Stacey E. Pickering ,34,33,0,1
Rankin,109 W Pearl H59,State Auditor,,DEM,Jocelyn  Pepper Pritchett ,58,58,0,0
Rankin,109 W Pearl H59,State Auditor,,REF,Lajena Walley ,0,0,0,0
Rankin,109 W Pearl H59,State Auditor,,,Write-in,0,0,0,0
Rankin,109 W Pearl H61,State Auditor,,REP,Stacey E. Pickering ,97,95,0,2
Rankin,109 W Pearl H61,State Auditor,,DEM,Jocelyn  Pepper Pritchett ,16,15,1,0
Rankin,109 W Pearl H61,State Auditor,,REF,Lajena Walley ,1,1,0,0
Rankin,109 W Pearl H61,State Auditor,,,Write-in,0,0,0,0
Rankin,109 W Pearl H68,State Auditor,,REP,Stacey E. Pickering ,163,159,3,1
Rankin,109 W Pearl H68,State Auditor,,DEM,Jocelyn  Pepper Pritchett ,64,60,1,3
Rankin,109 W Pearl H68,State Auditor,,REF,Lajena Walley ,5,5,0,0
Rankin,109 W Pearl H68,State Auditor,,,Write-in,0,0,0,0
Rankin,109 W Pearl H59,State Treasurer,,REP,Lynn Fitch ,46,45,0,1
Rankin,109 W Pearl H59,State Treasurer,,REF,Viola V. McFarland ,25,25,0,0
Rankin,109 W Pearl H59,State Treasurer,,,Write-in,4,4,0,0
Rankin,109 W Pearl H61,State Treasurer,,REP,Lynn Fitch ,101,98,1,2
Rankin,109 W Pearl H61,State Treasurer,,REF,Viola V. McFarland ,10,10,0,0
Rankin,109 W Pearl H61,State Treasurer,,,Write-in,0,0,0,0
Rankin,109 W Pearl H68,State Treasurer,,REP,Lynn Fitch ,190,184,3,3
Rankin,109 W Pearl H68,State Treasurer,,REF,Viola V. McFarland ,30,28,1,1
Rankin,109 W Pearl H68,State Treasurer,,,Write-in,3,3,0,0
Rankin,109 W Pearl H59,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,61,61,0,0
Rankin,109 W Pearl H59,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,30,29,0,1
Rankin,109 W Pearl H59,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,0,0,0,0
Rankin,109 W Pearl H59,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,109 W Pearl H61,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,13,13,0,0
Rankin,109 W Pearl H61,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,101,98,1,2
Rankin,109 W Pearl H61,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,1,1,0,0
Rankin,109 W Pearl H61,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,109 W Pearl H68,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,68,64,1,3
Rankin,109 W Pearl H68,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,164,160,3,1
Rankin,109 W Pearl H68,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,2,2,0,0
Rankin,109 W Pearl H68,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,109 W Pearl H59,Commissioner of Insurance,,REP,Mike Chaney ,51,50,0,1
Rankin,109 W Pearl H59,Commissioner of Insurance,,,Write-in,7,7,0,0
Rankin,109 W Pearl H61,Commissioner of Insurance,,REP,Mike Chaney ,104,101,1,2
Rankin,109 W Pearl H61,Commissioner of Insurance,,,Write-in,0,0,0,0
Rankin,109 W Pearl H68,Commissioner of Insurance,,REP,Mike Chaney ,207,200,3,4
Rankin,109 W Pearl H68,Commissioner of Insurance,,,Write-in,3,3,0,0
Rankin,109 W Pearl,State Senate,30,REP,Dean Kirby ,356,345,4,7
Rankin,109 W Pearl,State Senate,30,,Write-in,7,7,0,0
Rankin,109 W Pearl H59,State House,59,REP,Brent Powell ,48,47,0,1
Rankin,109 W Pearl H59,State House,59,,Write-in,7,7,0,0
Rankin,109 W Pearl H61,State House,61,REP,Ray Rogers ,102,99,1,2
Rankin,109 W Pearl H61,State House,61,,Write-in,0,0,0,0
Rankin,109 W Pearl H68,State House,68,DEM,Credell Calhoun ,165,159,3,3
Rankin,109 W Pearl H68,State House,68,,Write-in,4,4,0,0
Rankin,110 Clear Branch,Voters,,,BALLOTS CAST ,392,387,2,3
Rankin,110 Clear Branch,Governor,,REP,Phil Bryant ,323,319,1,3
Rankin,110 Clear Branch,Governor,,DEM,Robert Gray ,64,63,1,0
Rankin,110 Clear Branch,Governor,,REF,Shawn O'Hara ,5,5,0,0
Rankin,110 Clear Branch,Governor,,,Write-in,0,0,0,0
Rankin,110 Clear Branch,Lieutenant Governor,,DEM,Tim Johnson ,67,66,1,0
Rankin,110 Clear Branch,Lieutenant Governor,,REP,Tate Reeves ,309,305,1,3
Rankin,110 Clear Branch,Lieutenant Governor,,LIB,Ron Williams ,11,11,0,0
Rankin,110 Clear Branch,Lieutenant Governor,,REF,Rosa B. Williams ,2,2,0,0
Rankin,110 Clear Branch,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,110 Clear Branch,Secretary of State,,DEM,Charles E. Graham ,59,58,1,0
Rankin,110 Clear Branch,Secretary of State,,REP,Delbert Hosemann ,327,323,1,3
Rankin,110 Clear Branch,Secretary of State,,REF,Randy Walker ,6,6,0,0
Rankin,110 Clear Branch,Secretary of State,,,Write-in,0,0,0,0
Rankin,110 Clear Branch,Attorney General,,DEM,Jim Hood ,144,143,1,0
Rankin,110 Clear Branch,Attorney General,,REP,Mike Hurst ,245,241,1,3
Rankin,110 Clear Branch,Attorney General,,,Write-in,0,0,0,0
Rankin,110 Clear Branch,State Auditor,,REP,Stacey E. Pickering ,331,327,1,3
Rankin,110 Clear Branch,State Auditor,,DEM,Jocelyn  Pepper Pritchett ,53,52,1,0
Rankin,110 Clear Branch,State Auditor,,REF,Lajena Walley ,4,4,0,0
Rankin,110 Clear Branch,State Treasurer,,REP,Lynn Fitch ,355,351,1,3
Rankin,110 Clear Branch,State Treasurer,,REF,Viola V. McFarland ,18,17,1,0
Rankin,110 Clear Branch,State Treasurer,,,Write-in,0,0,0,0
Rankin,110 Clear Branch,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,60,59,1,0
Rankin,110 Clear Branch,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,321,317,1,3
Rankin,110 Clear Branch,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,9,9,0,0
Rankin,110 Clear Branch,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,110 Clear Branch,Commissioner of Insurance,,REP,Mike Chaney ,359,356,1,2
Rankin,110 Clear Branch,Commissioner of Insurance,,,Write-in,0,0,0,0
Rankin,110 Clear Branch,State Senate,35,REP,Chris Caughman ,356,352,1,3
Rankin,110 Clear Branch,State Senate,35,,Write-in,0,0,0,0
Rankin,110 Clear Branch,State House,62,REP,Tom Weathersby ,319,316,0,3
Rankin,110 Clear Branch,State House,62,DEM,Stephen Wilson ,68,66,2,0
Rankin,110 Clear Branch,State House,62,,Write-in,2,2,0,0
Rankin,111 Cleary,Voters,,,BALLOTS CAST,738,721,15,2
Rankin,111 Cleary,Governor,,REP,Phil Bryant ,656,639,15,2
Rankin,111 Cleary,Governor,,DEM,Robert Gray ,66,66,0,0
Rankin,111 Cleary,Governor,,REF,Shawn O'Hara ,8,8,0,0
Rankin,111 Cleary,Governor,,,Write-in,1,1,0,0
Rankin,111 Cleary,Lieutenant Governor,,DEM,Tim Johnson ,80,78,2,0
Rankin,111 Cleary,Lieutenant Governor,,REP,Tate Reeves ,630,615,13,2
Rankin,111 Cleary,Lieutenant Governor,,LIB,Ron Williams ,18,18,0,0
Rankin,111 Cleary,Lieutenant Governor,,REF,Rosa B. Williams ,3,3,0,0
Rankin,111 Cleary,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,111 Cleary,Secretary of State,,DEM,Charles E. Graham ,67,67,0,0
Rankin,111 Cleary,Secretary of State,,REP,Delbert Hosemann ,657,641,14,2
Rankin,111 Cleary,Secretary of State,,REF,Randy Walker ,7,6,1,0
Rankin,111 Cleary,Secretary of State,,,Write-in,0,0,0,0
Rankin,111 Cleary,Attorney General,,DEM,Jim Hood ,221,215,5,1
Rankin,111 Cleary,Attorney General,,REP,Mike Hurst ,513,502,10,1
Rankin,111 Cleary,Attorney General,,,Write-in,0,0,0,0
Rankin,111 Cleary,State Auditor,,REP,Stacey E. Pickering ,667,650,15,2
Rankin,111 Cleary,State Auditor,,DEM,Jocelyn  Pepper Pritchett ,63,63,0,0
Rankin,111 Cleary,State Auditor,,REF,Lajena Walley ,3,3,0,0
Rankin,111 Cleary,State Auditor,,,Write-in,0,0,0,0
Rankin,111 Cleary,State Treasurer,,REP,Lynn Fitch ,686,670,15,1
Rankin,111 Cleary,State Treasurer,,REF,Viola V. McFarland ,29,29,0,0
Rankin,111 Cleary,State Treasurer,,,Write-in,1,1,0,0
Rankin,111 Cleary,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,56,56,0,0
Rankin,111 Cleary,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,666,650,15,1
Rankin,111 Cleary,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,7,7,0,0
Rankin,111 Cleary,Commissioner of Agriculture & Commerce,,,Write-in,1,0,0,1
Rankin,111 Cleary,Commissioner of Insurance,,REP,Mike Chaney ,703,686,15,2
Rankin,111 Cleary,Commissioner of Insurance,,,Write-in,1,1,0,0
Rankin,111 Cleary,State Senate,35,REP,Chris Caughman ,676,659,15,2
Rankin,111 Cleary,State Senate,35,,Write-in,1,1,0,0
Rankin,111 Cleary,State House,62,REP,Tom Weathersby ,630,615,14,1
Rankin,111 Cleary,State House,62,DEM,Stephen Wilson ,96,95,1,0
Rankin,111 Cleary,State House,62,,Write-in,4,3,0,1
Rankin,112 E Steen Creek,Voters,,,BALLOTS CAST,891,863,21,7
Rankin,112 E Steen Creek,Governor,,REP,Phil Bryant ,744,721,19,4
Rankin,112 E Steen Creek,Governor,,DEM,Robert Gray ,126,121,2,3
Rankin,112 E Steen Creek,Governor,,REF,Shawn O'Hara ,12,12,0,0
Rankin,112 E Steen Creek,Governor,,,Write-in,3,3,0,0
Rankin,112 E Steen Creek,Lieutenant Governor,,DEM,Tim Johnson ,147,142,2,3
Rankin,112 E Steen Creek,Lieutenant Governor,,REP,Tate Reeves ,706,684,18,4
Rankin,112 E Steen Creek,Lieutenant Governor,,LIB,Ron Williams ,16,15,1,0
Rankin,112 E Steen Creek,Lieutenant Governor,,REF,Rosa B. Williams ,8,8,0,0
Rankin,112 E Steen Creek,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,112 E Steen Creek,Secretary of State,,DEM,Charles E. Graham ,121,117,1,3
Rankin,112 E Steen Creek,Secretary of State,,REP,Delbert Hosemann ,742,718,20,4
Rankin,112 E Steen Creek,Secretary of State,,REF,Randy Walker ,18,18,0,0
Rankin,112 E Steen Creek,Secretary of State,,,Write-in,1,1,0,0
Rankin,112 E Steen Creek,Attorney General,,DEM,Jim Hood ,329,314,12,3
Rankin,112 E Steen Creek,Attorney General,,REP,Mike Hurst ,554,542,8,4
Rankin,112 E Steen Creek,Attorney General,,,Write-in,2,1,1,0
Rankin,112 E Steen Creek,State Auditor,,REP,Stacey E. Pickering ,746,724,18,4
Rankin,112 E Steen Creek,State Auditor,,DEM,Jocelyn  Pepper Pritchett ,123,119,1,3
Rankin,112 E Steen Creek,State Auditor,,REF,Lajena Walley ,9,9,0,0
Rankin,112 E Steen Creek,State Auditor,,,Write-in,1,1,0,0
Rankin,112 E Steen Creek,State Treasurer,,REP,Lynn Fitch ,782,758,18,6
Rankin,112 E Steen Creek,State Treasurer,,REF,Viola V. McFarland ,78,77,0,1
Rankin,112 E Steen Creek,State Treasurer,,,Write-in,2,1,1,0
Rankin,112 E Steen Creek,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,116,112,1,3
Rankin,112 E Steen Creek,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,751,729,18,4
Rankin,112 E Steen Creek,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,12,12,0,0
Rankin,112 E Steen Creek,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,112 E Steen Creek,Commissioner of Insurance,,REP,Mike Chaney ,828,803,19,6
Rankin,112 E Steen Creek,Commissioner of Insurance,,,Write-in,7,7,0,0
Rankin,112 E Steen Creek,State Senate,35,REP,Chris Caughman ,812,788,18,6
Rankin,112 E Steen Creek,State Senate,35,,Write-in,4,4,0,0
Rankin,112 E Steen Creek,State House,62,REP,Tom Weathersby ,729,707,18,4
Rankin,112 E Steen Creek,State House,62,DEM,Stephen Wilson ,145,141,1,3
Rankin,112 E Steen Creek,State House,62,,Write-in,1,1,0,0
Rankin,113 Mountain Creek,Voters,,,BALLOTS CAST,239,235,2,2
Rankin,113 Mountain Creek,Governor,,REP,Phil Bryant ,196,192,2,2
Rankin,113 Mountain Creek,Governor,,DEM,Robert Gray ,35,35,0,0
Rankin,113 Mountain Creek,Governor,,REF,Shawn O'Hara ,2,2,0,0
Rankin,113 Mountain Creek,Governor,,,Write-in,1,1,0,0
Rankin,113 Mountain Creek,Lieutenant Governor,,DEM,Tim Johnson ,39,39,0,0
Rankin,113 Mountain Creek,Lieutenant Governor,,REP,Tate Reeves ,184,180,2,2
Rankin,113 Mountain Creek,Lieutenant Governor,,LIB,Ron Williams ,8,8,0,0
Rankin,113 Mountain Creek,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,113 Mountain Creek,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,113 Mountain Creek,Secretary of State,,DEM,Charles E. Graham ,37,37,0,0
Rankin,113 Mountain Creek,Secretary of State,,REP,Delbert Hosemann ,193,189,2,2
Rankin,113 Mountain Creek,Secretary of State,,REF,Randy Walker ,4,4,0,0
Rankin,113 Mountain Creek,Secretary of State,,,Write-in,0,0,0,0
Rankin,113 Mountain Creek,Attorney General,,DEM,Jim Hood ,84,81,2,1
Rankin,113 Mountain Creek,Attorney General,,REP,Mike Hurst ,149,148,0,1
Rankin,113 Mountain Creek,Attorney General,,,Write-in,1,1,0,0
Rankin,113 Mountain Creek,State Auditor,,REP,Stacey E. Pickering ,192,188,2,2
Rankin,113 Mountain Creek,State Auditor,,DEM,Jocelyn  Pepper Pritchett ,40,40,0,0
Rankin,113 Mountain Creek,State Auditor,,REF,Lajena Walley ,1,1,0,0
Rankin,113 Mountain Creek,State Auditor,,,Write-in,1,1,0,0
Rankin,113 Mountain Creek,State Treasurer,,REP,Lynn Fitch ,204,200,2,2
Rankin,113 Mountain Creek,State Treasurer,,REF,Viola V. McFarland ,18,18,0,0
Rankin,113 Mountain Creek,State Treasurer,,,Write-in,0,0,0,0
Rankin,113 Mountain Creek,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,40,40,0,0
Rankin,113 Mountain Creek,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,194,190,2,2
Rankin,113 Mountain Creek,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,0,0,0,0
Rankin,113 Mountain Creek,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,113 Mountain Creek,Commissioner of Insurance,,REP,Mike Chaney ,214,210,2,2
Rankin,113 Mountain Creek,Commissioner of Insurance,,,Write-in,0,0,0,0
Rankin,113 Mountain Creek,State Senate,35,REP,Chris Caughman ,208,204,2,2
Rankin,113 Mountain Creek,State Senate,35,,Write-in,0,0,0,0
Rankin,113 Mountain Creek,State House,62,REP,Tom Weathersby ,193,190,2,1
Rankin,113 Mountain Creek,State House,62,DEM,Stephen Wilson ,40,39,0,1
Rankin,113 Mountain Creek,State House,62,,Write-in,0,0,0,0
Rankin,114 N Richland,Voters,,,BALLOTS CAST,628,618,8,2
Rankin,114 N Richland HD62,Governor,,REP,Phil Bryant ,445,441,4,0
Rankin,114 N Richland HD62,Governor,,DEM,Robert Gray ,92,90,2,0
Rankin,114 N Richland HD62,Governor,,REF,Shawn O'Hara ,5,5,0,0
Rankin,114 N Richland HD62,Governor,,,Write-in,2,2,0,0
Rankin,114 N Richland HD68,Governor,,REP,Phil Bryant ,48,45,2,1
Rankin,114 N Richland HD68,Governor,,DEM,Robert Gray ,30,29,0,1
Rankin,114 N Richland HD68,Governor,,REF,Shawn O'Hara ,1,1,0,0
Rankin,114 N Richland HD68,Governor,,,Write-in,0,0,0,0
Rankin,114 N Richland HD62,Lieutenant Governor,,DEM,Tim Johnson ,108,105,3,0
Rankin,114 N Richland HD62,Lieutenant Governor,,REP,Tate Reeves ,412,409,3,0
Rankin,114 N Richland HD62,Lieutenant Governor,,LIB,Ron Williams ,15,15,0,0
Rankin,114 N Richland HD62,Lieutenant Governor,,REF,Rosa B. Williams ,5,5,0,0
Rankin,114 N Richland HD62,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,114 N Richland HD68,Lieutenant Governor,,DEM,Tim Johnson ,29,28,0,1
Rankin,114 N Richland HD68,Lieutenant Governor,,REP,Tate Reeves ,49,46,2,1
Rankin,114 N Richland HD68,Lieutenant Governor,,LIB,Ron Williams ,2,2,0,0
Rankin,114 N Richland HD68,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,114 N Richland HD68,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,114 N Richland HD62,Secretary of State,,DEM,Charles E. Graham ,83,80,3,0
Rankin,114 N Richland HD62,Secretary of State,,REP,Delbert Hosemann ,446,443,3,0
Rankin,114 N Richland HD62,Secretary of State,,REF,Randy Walker ,11,11,0,0
Rankin,114 N Richland HD62,Secretary of State,,,Write-in,0,0,0,0
Rankin,114 N Richland HD68,Secretary of State,,DEM,Charles E. Graham ,31,30,0,1
Rankin,114 N Richland HD68,Secretary of State,,REP,Delbert Hosemann ,48,45,2,1
Rankin,114 N Richland HD68,Secretary of State,,REF,Randy Walker ,1,1,0,0
Rankin,114 N Richland HD68,Secretary of State,,,Write-in,0,0,0,0
Rankin,114 N Richland HD62,Attorney General,,DEM,Jim Hood ,228,226,2,0
Rankin,114 N Richland HD62,Attorney General,,REP,Mike Hurst ,309,305,4,0
Rankin,114 N Richland HD62,Attorney General,,,Write-in,2,2,0,0
Rankin,114 N Richland HD68,Attorney General,,DEM,Jim Hood ,47,45,0,2
Rankin,114 N Richland HD68,Attorney General,,REP,Mike Hurst ,33,31,2,0
Rankin,114 N Richland HD68,Attorney General,,,Write-in,0,0,0,0
Rankin,114 N Richland HD62,State Auditor,,REP,Stacey E. Pickering ,438,435,3,0
Rankin,114 N Richland HD62,State Auditor,,DEM,Jocelyn  Pepper Pritchett,94,91,3,0
Rankin,114 N Richland HD62,State Auditor,,REF,Lajena Walley ,5,5,0,0
Rankin,114 N Richland HD62,State Auditor,,,Write-in,1,1,0,0
Rankin,114 N Richland HD68,State Auditor,,REP,Stacey E. Pickering ,53,50,2,1
Rankin,114 N Richland HD68,State Auditor,,DEM,Jocelyn  Pepper Pritchett,28,27,0,1
Rankin,114 N Richland HD68,State Auditor,,REF,Lajena Walley ,0,0,0,0
Rankin,114 N Richland HD68,State Auditor,,,Write-in,0,0,0,0
Rankin,114 N Richland HD62,State Treasurer,,REP,Lynn Fitch ,462,458,4,0
Rankin,114 N Richland HD62,State Treasurer,,REF,Viola V. McFarland ,62,60,2,0
Rankin,114 N Richland HD62,State Treasurer,,,Write-in,2,2,0,0
Rankin,114 N Richland HD68,State Treasurer,,REP,Lynn Fitch ,63,60,2,1
Rankin,114 N Richland HD68,State Treasurer,,REF,Viola V. McFarland ,11,10,0,1
Rankin,114 N Richland HD68,State Treasurer,,,Write-in,0,0,0,0
Rankin,114 N Richland HD62,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,87,85,2,0
Rankin,114 N Richland HD62,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,447,443,4,0
Rankin,114 N Richland HD62,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,6,6,0,0
Rankin,114 N Richland HD62,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,114 N Richland HD68,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,32,31,0,1
Rankin,114 N Richland HD68,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,47,44,2,1
Rankin,114 N Richland HD68,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,1,1,0,0
Rankin,114 N Richland HD68,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,114 N Richland HD62,Commissioner of Insurance,,REP,Mike Chaney ,501,495,6,0
Rankin,114 N Richland HD62,Commissioner of Insurance,,,Write-in,3,3,0,0
Rankin,114 N Richland HD68,Commissioner of Insurance,,REP,Mike Chaney ,67,63,2,2
Rankin,114 N Richland HD68,Commissioner of Insurance,,,Write-in,0,0,0,0
Rankin,114 N Richland,State Senate,30,REP,Dean Kirby ,555,547,6,2
Rankin,114 N Richland,State Senate,30,,Write-in,4,4,0,0
Rankin,114 N Richland HD62,State House,62,REP,Tom Weathersby ,410,406,4,0
Rankin,114 N Richland HD62,State House,62,DEM,Stephen Wilson ,125,124,1,0
Rankin,114 N Richland HD62,State House,62,,Write-in,1,1,0,0
Rankin,114 N Richland HD68,State House,68,DEM,Credell Calhoun ,59,55,2,2
Rankin,114 N Richland HD68,State House,68,,Write-in,2,2,0,0
Rankin,115 S Richland,Voters,,,BALLOTS CAST,940,919,18,3
Rankin,115 S Richland HD60,Governor,,REP,Phil Bryant ,6,6,0,0
Rankin,115 S Richland HD60,Governor,,DEM,Robert Gray ,3,3,0,0
Rankin,115 S Richland HD60,Governor,,REF,Shawn O'Hara ,0,0,0,0
Rankin,115 S Richland HD60,Governor,,,Write-in,0,0,0,0
Rankin,115 S Richland HD62,Governor,,REP,Phil Bryant ,771,754,15,2
Rankin,115 S Richland HD62,Governor,,DEM,Robert Gray ,141,138,2,1
Rankin,115 S Richland HD62,Governor,,REF,Shawn O'Hara ,10,10,0,0
Rankin,115 S Richland HD62,Governor,,,Write-in,1,1,0,0
Rankin,115 S Richland HD60,Lieutenant Governor,,DEM,Tim Johnson ,2,2,0,0
Rankin,115 S Richland HD60,Lieutenant Governor,,REP,Tate Reeves ,6,6,0,0
Rankin,115 S Richland HD60,Lieutenant Governor,,LIB,Ron Williams ,0,0,0,0
Rankin,115 S Richland HD60,Lieutenant Governor,,REF,Rosa B. Williams ,1,1,0,0
Rankin,115 S Richland HD60,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,115 S Richland HD62,Lieutenant Governor,,DEM,Tim Johnson ,156,153,2,1
Rankin,115 S Richland HD62,Lieutenant Governor,,REP,Tate Reeves ,738,720,16,2
Rankin,115 S Richland HD62,Lieutenant Governor,,LIB,Ron Williams ,19,19,0,0
Rankin,115 S Richland HD62,Lieutenant Governor,,REF,Rosa B. Williams ,7,7,0,0
Rankin,115 S Richland HD62,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,115 S Richland HD60,Secretary of State,,DEM,Charles E. Graham ,3,3,0,0
Rankin,115 S Richland HD60,Secretary of State,,REP,Delbert Hosemann ,6,6,0,0
Rankin,115 S Richland HD60,Secretary of State,,REF,Randy Walker ,0,0,0,0
Rankin,115 S Richland HD60,Secretary of State,,,Write-in,0,0,0,0
Rankin,115 S Richland HD62,Secretary of State,,DEM,Charles E. Graham ,143,140,2,1
Rankin,115 S Richland HD62,Secretary of State,,REP,Delbert Hosemann ,763,745,16,2
Rankin,115 S Richland HD62,Secretary of State,,REF,Randy Walker ,21,21,0,0
