county,precinct,office,district,candidate,party,total
Panola,Cold Springs,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,48
Panola,Cold Springs,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,6
Panola,Cold Springs,Commissioner of Insurance,,Mike Chaney,Republican,125
Panola,Cold Springs,State Senate,9,Cristen Hemming,Democrat,125
Panola,Cold Springs,State Senate,9,Gray Tollison,Republican,56
Panola,Cold Springs,State House,10,Nolan Mettetal,Republican,88
Panola,Cold Springs,State House,10,Ken Daugherty,Independent,70
Panola,Cole's Point,Governor,,Phil  Bryant,Republican,204
Panola,Cole's Point,Governor,,Robert  Gray,Democrat,19
Panola,Cole's Point,Governor,,Shawn  O'Hara,Reform,1
Panola,Cole's Point,Lieutenant Governor,,Tim  Johnson,Democrat,29
Panola,Cole's Point,Lieutenant Governor,,Tate  Reeves,Republican,181
Panola,Cole's Point,Lieutenant Governor,,Ron  Williams,Libertarian,6
Panola,Cole's Point,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Panola,Cole's Point,Secretary of State,,Charles  E.  Graham,Democrat,45
Panola,Cole's Point,Secretary of State,,Delbert  Hosemann,Republican,159
Panola,Cole's Point,Secretary of State,,Randy  Walker,Reform,12
Panola,Cole's Point,Attorney General,,Jim  Hood,Democrat,101
Panola,Cole's Point,Attorney General,,Mike  Hurst,Republican,117
Panola,Cole's Point,State Auditor,,Stacey  E.  Pickering,Republican,189
Panola,Cole's Point,State Auditor,,Jocelyn Pepper Pritchett,Democrat,25
Panola,Cole's Point,State Auditor,,Lajena  Walley,Reform,4
Panola,Cole's Point,State Treasurer,,Lynn Fitch,Republican,200
Panola,Cole's Point,State Treasurer,,Viola McFarland,Reform,14
Panola,Cole's Point,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,38
Panola,Cole's Point,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,163
Panola,Cole's Point,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,8
Panola,Cole's Point,Commissioner of Insurance,,Mike Chaney,Republican,206
Panola,Cole's Point,State Senate,9,Cristen Hemming,Democrat,45
Panola,Cole's Point,State Senate,9,Gray Tollison,Republican,172
Panola,Cole's Point,State House,10,Nolan Mettetal,Republican,182
Panola,Cole's Point,State House,10,Ken Daugherty,Independent,37
Panola,Como,Governor,,Phil  Bryant,Republican,305
Panola,Como,Governor,,Robert  Gray,Democrat,443
Panola,Como,Governor,,Shawn  O'Hara,Reform,7
Panola,Como,Lieutenant Governor,,Tim  Johnson,Democrat,471
Panola,Como,Lieutenant Governor,,Tate  Reeves,Republican,230
Panola,Como,Lieutenant Governor,,Ron  Williams,Libertarian,21
Panola,Como,Lieutenant Governor,,Rosa  B.  Williams,Reform,16
Panola,Como,Secretary of State,,Charles  E.  Graham,Democrat,496
Panola,Como,Secretary of State,,Delbert  Hosemann,Republican,216
Panola,Como,Secretary of State,,Randy  Walker,Reform,27
Panola,Como,Attorney General,,Jim  Hood,Democrat,525
Panola,Como,Attorney General,,Mike  Hurst,Republican,198
Panola,Como,State Auditor,,Stacey  E.  Pickering,Republican,243
Panola,Como,State Auditor,,Jocelyn Pepper Pritchett,Democrat,468
Panola,Como,State Auditor,,Lajena  Walley,Reform,17
Panola,Como,State Treasurer,,Lynn Fitch,Republican,361
Panola,Como,State Treasurer,,Viola McFarland,Reform,223
Panola,Como,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,473
Panola,Como,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,232
Panola,Como,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,29
Panola,Como,Commissioner of Insurance,,Mike Chaney,Republican,471
Panola,Como,State Senate,11,Robert L. Jackson,Democrat,582
Panola,Como,State House,11,Lataisha Jackson,Democrat,644
Panola,Courtland,Governor,,Phil  Bryant,Republican,369
Panola,Courtland,Governor,,Robert  Gray,Democrat,440
Panola,Courtland,Governor,,Shawn  O'Hara,Reform,11
Panola,Courtland,Lieutenant Governor,,Tim  Johnson,Democrat,483
Panola,Courtland,Lieutenant Governor,,Tate  Reeves,Republican,265
Panola,Courtland,Lieutenant Governor,,Ron  Williams,Libertarian,30
Panola,Courtland,Lieutenant Governor,,Rosa  B.  Williams,Reform,16
Panola,Courtland,Secretary of State,,Charles  E.  Graham,Democrat,563
Panola,Courtland,Secretary of State,,Delbert  Hosemann,Republican,199
Panola,Courtland,Secretary of State,,Randy  Walker,Reform,35
Panola,Courtland,Attorney General,,Jim  Hood,Democrat,641
Panola,Courtland,Attorney General,,Mike  Hurst,Republican,161
Panola,Courtland,State Auditor,,Stacey  E.  Pickering,Republican,262
Panola,Courtland,State Auditor,,Jocelyn Pepper Pritchett,Democrat,507
Panola,Courtland,State Auditor,,Lajena  Walley,Reform,18
Panola,Courtland,State Treasurer,,Lynn Fitch,Republican,416
Panola,Courtland,State Treasurer,,Viola McFarland,Reform,273
Panola,Courtland,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,507
Panola,Courtland,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,253
Panola,Courtland,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,33
Panola,Courtland,Commissioner of Insurance,,Mike Chaney,Republican,601
Panola,Courtland,State Senate,11,Robert L. Jackson,Democrat,737
Panola,Courtland,State House,11,Lataisha Jackson,Democrat,753
Panola,Crenshaw,Governor,,Phil  Bryant,Republican,138
Panola,Crenshaw,Governor,,Robert  Gray,Democrat,119
Panola,Crenshaw,Governor,,Shawn  O'Hara,Reform,3
Panola,Crenshaw,Lieutenant Governor,,Tim  Johnson,Democrat,150
Panola,Crenshaw,Lieutenant Governor,,Tate  Reeves,Republican,97
Panola,Crenshaw,Lieutenant Governor,,Ron  Williams,Libertarian,3
Panola,Crenshaw,Lieutenant Governor,,Rosa  B.  Williams,Reform,5
Panola,Crenshaw,Secretary of State,,Charles  E.  Graham,Democrat,159
Panola,Crenshaw,Secretary of State,,Delbert  Hosemann,Republican,75
Panola,Crenshaw,Secretary of State,,Randy  Walker,Reform,10
Panola,Crenshaw,Attorney General,,Jim  Hood,Democrat,200
Panola,Crenshaw,Attorney General,,Mike  Hurst,Republican,57
Panola,Crenshaw,State Auditor,,Stacey  E.  Pickering,Republican,113
Panola,Crenshaw,State Auditor,,Jocelyn Pepper Pritchett,Democrat,139
Panola,Crenshaw,State Auditor,,Lajena  Walley,Reform,5
Panola,Crenshaw,State Treasurer,,Lynn Fitch,Republican,142
Panola,Crenshaw,State Treasurer,,Viola McFarland,Reform,65
Panola,Crenshaw,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,162
Panola,Crenshaw,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,88
Panola,Crenshaw,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,7
Panola,Crenshaw,Commissioner of Insurance,,Mike Chaney,Republican,183
Panola,Crenshaw,State Senate,11,Robert L. Jackson,Democrat,231
Panola,Crenshaw,State House,11,Lataisha Jackson,Democrat,232
Panola,Curtis,Governor,,Phil  Bryant,Republican,107
Panola,Curtis,Governor,,Robert  Gray,Democrat,270
Panola,Curtis,Governor,,Shawn  O'Hara,Reform,4
Panola,Curtis,Lieutenant Governor,,Tim  Johnson,Democrat,272
Panola,Curtis,Lieutenant Governor,,Tate  Reeves,Republican,83
Panola,Curtis,Lieutenant Governor,,Ron  Williams,Libertarian,9
Panola,Curtis,Lieutenant Governor,,Rosa  B.  Williams,Reform,8
Panola,Curtis,Secretary of State,,Charles  E.  Graham,Democrat,289
Panola,Curtis,Secretary of State,,Delbert  Hosemann,Republican,57
Panola,Curtis,Secretary of State,,Randy  Walker,Reform,16
Panola,Curtis,Attorney General,,Jim  Hood,Democrat,311
Panola,Curtis,Attorney General,,Mike  Hurst,Republican,62
Panola,Curtis,State Auditor,,Stacey  E.  Pickering,Republican,85
Panola,Curtis,State Auditor,,Jocelyn Pepper Pritchett,Democrat,276
Panola,Curtis,State Auditor,,Lajena  Walley,Reform,7
Panola,Curtis,State Treasurer,,Lynn Fitch,Republican,127
Panola,Curtis,State Treasurer,,Viola McFarland,Reform,155
Panola,Curtis,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,286
Panola,Curtis,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,73
Panola,Curtis,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,8
Panola,Curtis,Commissioner of Insurance,,Mike Chaney,Republican,226
Panola,Curtis,State Senate,11,Robert L. Jackson,Democrat,340
Panola,Curtis,State House,11,Lataisha Jackson,Democrat,352
Panola,E Batesville,Governor,,Phil  Bryant,Republican,719
Panola,E Batesville,Governor,,Robert  Gray,Democrat,117
Panola,E Batesville,Governor,,Shawn  O'Hara,Reform,3
Panola,E Batesville,Lieutenant Governor,,Tim  Johnson,Democrat,138
Panola,E Batesville,Lieutenant Governor,,Tate  Reeves,Republican,673
Panola,E Batesville,Lieutenant Governor,,Ron  Williams,Libertarian,11
Panola,E Batesville,Lieutenant Governor,,Rosa  B.  Williams,Reform,3
Panola,E Batesville,Secretary of State,,Charles  E.  Graham,Democrat,166
Panola,E Batesville,Secretary of State,,Delbert  Hosemann,Republican,627
Panola,E Batesville,Secretary of State,,Randy  Walker,Reform,19
Panola,E Batesville,Attorney General,,Jim  Hood,Democrat,378
Panola,E Batesville,Attorney General,,Mike  Hurst,Republican,448
Panola,E Batesville,State Auditor,,Stacey  E.  Pickering,Republican,673
Panola,E Batesville,State Auditor,,Jocelyn Pepper Pritchett,Democrat,137
Panola,E Batesville,State Auditor,,Lajena  Walley,Reform,9
Panola,E Batesville,State Treasurer,,Lynn Fitch,Republican,720
Panola,E Batesville,State Treasurer,,Viola McFarland,Reform,61
Panola,E Batesville,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,155
Panola,E Batesville,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,633
Panola,E Batesville,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,19
Panola,E Batesville,Commissioner of Insurance,,Mike Chaney,Republican,767
Panola,E Batesville,State Senate,9,Cristen Hemming,Democrat,202
Panola,E Batesville,State Senate,9,Gray Tollison,Republican,617
Panola,E Batesville,State House,10,Nolan Mettetal,Republican,685
Panola,E Batesville,State House,10,Ken Daugherty,Independent,125
Panola,E Batesville 4,Governor,,Phil  Bryant,Republican,361
Panola,E Batesville 4,Governor,,Robert  Gray,Democrat,75
Panola,E Batesville 4,Governor,,Shawn  O'Hara,Reform,3
Panola,E Batesville 4,Lieutenant Governor,,Tim  Johnson,Democrat,62
Panola,E Batesville 4,Lieutenant Governor,,Tate  Reeves,Republican,336
Panola,E Batesville 4,Lieutenant Governor,,Ron  Williams,Libertarian,6
Panola,E Batesville 4,Lieutenant Governor,,Rosa  B.  Williams,Reform,4
Panola,E Batesville 4,Secretary of State,,Charles  E.  Graham,Democrat,87
Panola,E Batesville 4,Secretary of State,,Delbert  Hosemann,Republican,321
Panola,E Batesville 4,Secretary of State,,Randy  Walker,Reform,14
Panola,E Batesville 4,Attorney General,,Jim  Hood,Democrat,189
Panola,E Batesville 4,Attorney General,,Mike  Hurst,Republican,242
Panola,E Batesville 4,State Auditor,,Stacey  E.  Pickering,Republican,344
Panola,E Batesville 4,State Auditor,,Jocelyn Pepper Pritchett,Democrat,76
Panola,E Batesville 4,State Auditor,,Lajena  Walley,Reform,3
Panola,E Batesville 4,State Treasurer,,Lynn Fitch,Republican,359
Panola,E Batesville 4,State Treasurer,,Viola McFarland,Reform,44
Panola,E Batesville 4,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,78
Panola,E Batesville 4,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,331
Panola,E Batesville 4,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,11
Panola,E Batesville 4,Commissioner of Insurance,,Mike Chaney,Republican,377
Panola,E Batesville 4,State Senate,9,Cristen Hemming,Democrat,113
Panola,E Batesville 4,State Senate,9,Gray Tollison,Republican,312
Panola,E Batesville 4,State House,10,Nolan Mettetal,Republican,354
Panola,E Batesville 4,State House,10,Ken Daugherty,Independent,68
Panola,E Crowder,Governor,,Phil  Bryant,Republican,66
Panola,E Crowder,Governor,,Robert  Gray,Democrat,86
Panola,E Crowder,Governor,,Shawn  O'Hara,Reform,5
Panola,E Crowder,Lieutenant Governor,,Tim  Johnson,Democrat,97
Panola,E Crowder,Lieutenant Governor,,Tate  Reeves,Republican,43
Panola,E Crowder,Lieutenant Governor,,Ron  Williams,Libertarian,4
Panola,E Crowder,Lieutenant Governor,,Rosa  B.  Williams,Reform,8
Panola,E Crowder,Secretary of State,,Charles  E.  Graham,Democrat,107
Panola,E Crowder,Secretary of State,,Delbert  Hosemann,Republican,35
Panola,E Crowder,Secretary of State,,Randy  Walker,Reform,9
Panola,E Crowder,Attorney General,,Jim  Hood,Democrat,119
Panola,E Crowder,Attorney General,,Mike  Hurst,Republican,29
Panola,E Crowder,State Auditor,,Stacey  E.  Pickering,Republican,47
Panola,E Crowder,State Auditor,,Jocelyn Pepper Pritchett,Democrat,96
Panola,E Crowder,State Auditor,,Lajena  Walley,Reform,6
Panola,E Crowder,State Treasurer,,Lynn Fitch,Republican,77
Panola,E Crowder,State Treasurer,,Viola McFarland,Reform,45
Panola,E Crowder,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,102
Panola,E Crowder,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,41
Panola,E Crowder,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,5
Panola,E Crowder,Commissioner of Insurance,,Mike Chaney,Republican,110
Panola,E Crowder,State Senate,11,Robert L. Jackson,Democrat,139
Panola,E Crowder,State House,10,Nolan Mettetal,Republican,86
Panola,E Crowder,State House,10,Ken Daugherty,Independent,64
Panola,E Sardis,Governor,,Phil  Bryant,Republican,235
Panola,E Sardis,Governor,,Robert  Gray,Democrat,37
Panola,E Sardis,Governor,,Shawn  O'Hara,Reform,0
Panola,E Sardis,Lieutenant Governor,,Tim  Johnson,Democrat,47
Panola,E Sardis,Lieutenant Governor,,Tate  Reeves,Republican,209
Panola,E Sardis,Lieutenant Governor,,Ron  Williams,Libertarian,7
Panola,E Sardis,Lieutenant Governor,,Rosa  B.  Williams,Reform,1
Panola,E Sardis,Secretary of State,,Charles  E.  Graham,Democrat,59
Panola,E Sardis,Secretary of State,,Delbert  Hosemann,Republican,188
Panola,E Sardis,Secretary of State,,Randy  Walker,Reform,13
Panola,E Sardis,Attorney General,,Jim  Hood,Democrat,101
Panola,E Sardis,Attorney General,,Mike  Hurst,Republican,165
Panola,E Sardis,State Auditor,,Stacey  E.  Pickering,Republican,218
Panola,E Sardis,State Auditor,,Jocelyn Pepper Pritchett,Democrat,41
Panola,E Sardis,State Auditor,,Lajena  Walley,Reform,4
Panola,E Sardis,State Treasurer,,Lynn Fitch,Republican,226
Panola,E Sardis,State Treasurer,,Viola McFarland,Reform,20
Panola,E Sardis,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,44
Panola,E Sardis,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,206
Panola,E Sardis,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,4
Panola,E Sardis,Commissioner of Insurance,,Mike Chaney,Republican,243
Panola,E Sardis,State Senate,9,Cristen Hemming,Democrat,60
Panola,E Sardis,State Senate,9,Gray Tollison,Republican,197
Panola,E Sardis,State House,10,Nolan Mettetal,Republican,211
Panola,E Sardis,State House,10,Ken Daugherty,Independent,52
Panola,Enon,Governor,,Phil  Bryant,Republican,84
Panola,Enon,Governor,,Robert  Gray,Democrat,19
Panola,Enon,Governor,,Shawn  O'Hara,Reform,2
Panola,Enon,Lieutenant Governor,,Tim  Johnson,Democrat,21
Panola,Enon,Lieutenant Governor,,Tate  Reeves,Republican,79
Panola,Enon,Lieutenant Governor,,Ron  Williams,Libertarian,2
Panola,Enon,Lieutenant Governor,,Rosa  B.  Williams,Reform,1
Panola,Enon,Secretary of State,,Charles  E.  Graham,Democrat,36
Panola,Enon,Secretary of State,,Delbert  Hosemann,Republican,56
Panola,Enon,Secretary of State,,Randy  Walker,Reform,9
Panola,Enon,Attorney General,,Jim  Hood,Democrat,60
Panola,Enon,Attorney General,,Mike  Hurst,Republican,40
Panola,Enon,State Auditor,,Stacey  E.  Pickering,Republican,71
Panola,Enon,State Auditor,,Jocelyn Pepper Pritchett,Democrat,28
Panola,Enon,State Auditor,,Lajena  Walley,Reform,2
Panola,Enon,State Treasurer,,Lynn Fitch,Republican,85
Panola,Enon,State Treasurer,,Viola McFarland,Reform,10
Panola,Enon,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,28
Panola,Enon,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,69
Panola,Enon,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,4
Panola,Enon,Commissioner of Insurance,,Mike Chaney,Republican,89
Panola,Enon,State Senate,11,Robert L. Jackson,Democrat,87
Panola,Enon,State House,11,Lataisha Jackson,Democrat,87
Panola,Eureka,Governor,,Phil  Bryant,Republican,568
Panola,Eureka,Governor,,Robert  Gray,Democrat,120
Panola,Eureka,Governor,,Shawn  O'Hara,Reform,7
Panola,Eureka,Lieutenant Governor,,Tim  Johnson,Democrat,146
Panola,Eureka,Lieutenant Governor,,Tate  Reeves,Republican,512
Panola,Eureka,Lieutenant Governor,,Ron  Williams,Libertarian,9
Panola,Eureka,Lieutenant Governor,,Rosa  B.  Williams,Reform,7
Panola,Eureka,Secretary of State,,Charles  E.  Graham,Democrat,183
Panola,Eureka,Secretary of State,,Delbert  Hosemann,Republican,455
Panola,Eureka,Secretary of State,,Randy  Walker,Reform,32
Panola,Eureka,Attorney General,,Jim  Hood,Democrat,319
Panola,Eureka,Attorney General,,Mike  Hurst,Republican,361
Panola,Eureka,State Auditor,,Stacey  E.  Pickering,Republican,507
Panola,Eureka,State Auditor,,Jocelyn Pepper Pritchett,Democrat,154
Panola,Eureka,State Auditor,,Lajena  Walley,Reform,6
Panola,Eureka,State Treasurer,,Lynn Fitch,Republican,555
Panola,Eureka,State Treasurer,,Viola McFarland,Reform,82
Panola,Eureka,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,158
Panola,Eureka,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,497
Panola,Eureka,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,18
Panola,Eureka,Commissioner of Insurance,,Mike Chaney,Republican,607
Panola,Eureka,State Senate,14,Lydia Graves Chassaniol,Republican,419
Panola,Eureka,State Senate,14,Georgio Proctor,Democrat,143
Panola,Eureka,State Senate,14,Donny Ryals,Independent,86
Panola,Eureka,State House,10,Nolan Mettetal,Republican,530
Panola,Eureka,State House,10,Ken Daugherty,Independent,138
Panola,Longtown,Governor,,Phil  Bryant,Republican,87
Panola,Longtown,Governor,,Robert  Gray,Democrat,63
Panola,Longtown,Governor,,Shawn  O'Hara,Reform,2
Panola,Longtown,Lieutenant Governor,,Tim  Johnson,Democrat,81
Panola,Longtown,Lieutenant Governor,,Tate  Reeves,Republican,60
Panola,Longtown,Lieutenant Governor,,Ron  Williams,Libertarian,4
Panola,Longtown,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Panola,Longtown,Secretary of State,,Charles  E.  Graham,Democrat,78
Panola,Longtown,Secretary of State,,Delbert  Hosemann,Republican,56
Panola,Longtown,Secretary of State,,Randy  Walker,Reform,10
Panola,Longtown,Attorney General,,Jim  Hood,Democrat,101
Panola,Longtown,Attorney General,,Mike  Hurst,Republican,49
Panola,Longtown,State Auditor,,Stacey  E.  Pickering,Republican,73
Panola,Longtown,State Auditor,,Jocelyn Pepper Pritchett,Democrat,71
Panola,Longtown,State Auditor,,Lajena  Walley,Reform,5
Panola,Longtown,State Treasurer,,Lynn Fitch,Republican,89
Panola,Longtown,State Treasurer,,Viola McFarland,Reform,29
Panola,Longtown,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,74
Panola,Longtown,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,63
Panola,Longtown,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,8
Panola,Longtown,Commissioner of Insurance,,Mike Chaney,Republican,101
Panola,Longtown,State Senate,11,Robert L. Jackson,Democrat,118
Panola,Longtown,State House,11,Lataisha Jackson,Democrat,118
Panola,Macedonia-Concord,Governor,,Phil  Bryant,Republican,67
Panola,Macedonia-Concord,Governor,,Robert  Gray,Democrat,154
Panola,Macedonia-Concord,Governor,,Shawn  O'Hara,Reform,2
Panola,Macedonia-Concord,Lieutenant Governor,,Tim  Johnson,Democrat,168
Panola,Macedonia-Concord,Lieutenant Governor,,Tate  Reeves,Republican,46
Panola,Macedonia-Concord,Lieutenant Governor,,Ron  Williams,Libertarian,1
Panola,Macedonia-Concord,Lieutenant Governor,,Rosa  B.  Williams,Reform,5
Panola,Macedonia-Concord,Secretary of State,,Charles  E.  Graham,Democrat,189
Panola,Macedonia-Concord,Secretary of State,,Delbert  Hosemann,Republican,29
Panola,Macedonia-Concord,Secretary of State,,Randy  Walker,Reform,3
Panola,Macedonia-Concord,Attorney General,,Jim  Hood,Democrat,193
Panola,Macedonia-Concord,Attorney General,,Mike  Hurst,Republican,28
Panola,Macedonia-Concord,State Auditor,,Stacey  E.  Pickering,Republican,42
Panola,Macedonia-Concord,State Auditor,,Jocelyn Pepper Pritchett,Democrat,170
Panola,Macedonia-Concord,State Auditor,,Lajena  Walley,Reform,4
Panola,Macedonia-Concord,State Treasurer,,Lynn Fitch,Republican,80
Panola,Macedonia-Concord,State Treasurer,,Viola McFarland,Reform,83
Panola,Macedonia-Concord,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,177
Panola,Macedonia-Concord,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,34
Panola,Macedonia-Concord,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,5
Panola,Macedonia-Concord,Commissioner of Insurance,,Mike Chaney,Republican,132
Panola,Macedonia-Concord,State Senate,11,Robert L. Jackson,Democrat,201
Panola,Macedonia-Concord,State House,11,Lataisha Jackson,Democrat,207
Panola,North Batesville #A,Governor,,Phil  Bryant,Republican,424
Panola,North Batesville #A,Governor,,Robert  Gray,Democrat,162
Panola,North Batesville #A,Governor,,Shawn  O'Hara,Reform,6
Panola,North Batesville #A,Lieutenant Governor,,Tim  Johnson,Democrat,181
Panola,North Batesville #A,Lieutenant Governor,,Tate  Reeves,Republican,380
Panola,North Batesville #A,Lieutenant Governor,,Ron  Williams,Libertarian,10
Panola,North Batesville #A,Lieutenant Governor,,Rosa  B.  Williams,Reform,13
Panola,North Batesville #A,Secretary of State,,Charles  E.  Graham,Democrat,231
Panola,North Batesville #A,Secretary of State,,Delbert  Hosemann,Republican,327
Panola,North Batesville #A,Secretary of State,,Randy  Walker,Reform,20
Panola,North Batesville #A,Attorney General,,Jim  Hood,Democrat,322
Panola,North Batesville #A,Attorney General,,Mike  Hurst,Republican,260
Panola,North Batesville #A,State Auditor,,Stacey  E.  Pickering,Republican,388
Panola,North Batesville #A,State Auditor,,Jocelyn Pepper Pritchett,Democrat,188
Panola,North Batesville #A,State Auditor,,Lajena  Walley,Reform,2
Panola,North Batesville #A,State Treasurer,,Lynn Fitch,Republican,444
Panola,North Batesville #A,State Treasurer,,Viola McFarland,Reform,91
Panola,North Batesville #A,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,201
Panola,North Batesville #A,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,364
Panola,North Batesville #A,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,12
Panola,North Batesville #A,Commissioner of Insurance,,Mike Chaney,Republican,509
Panola,North Batesville #A,State Senate,9,Cristen Hemming,Democrat,234
Panola,North Batesville #A,State Senate,9,Gray Tollison,Republican,341
Panola,North Batesville #A,State House,10,Nolan Mettetal,Republican,252
Panola,North Batesville #A,State House,10,Ken Daugherty,Independent,36
Panola,North Batesville #A,State House,11,Lataisha Jackson,Democrat,272
Panola,North Batesville #B,Governor,,Phil  Bryant,Republican,178
Panola,North Batesville #B,Governor,,Robert  Gray,Democrat,509
Panola,North Batesville #B,Governor,,Shawn  O'Hara,Reform,11
Panola,North Batesville #B,Lieutenant Governor,,Tim  Johnson,Democrat,530
Panola,North Batesville #B,Lieutenant Governor,,Tate  Reeves,Republican,111
Panola,North Batesville #B,Lieutenant Governor,,Ron  Williams,Libertarian,9
Panola,North Batesville #B,Lieutenant Governor,,Rosa  B.  Williams,Reform,33
