county,precinct,office,district,candidate,party,total
Jefferson Davis,Good Hope 33,Secretary of State,,Randy  Walker,Reform,6
Jefferson Davis,Good Hope 33,Attorney General,,Jim  Hood,Democrat,90
Jefferson Davis,Good Hope 33,Attorney General,,Mike  Hurst,Republican,68
Jefferson Davis,Good Hope 33,State Auditor,,Stacey  E.  Pickering,Republican,92
Jefferson Davis,Good Hope 33,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,58
Jefferson Davis,Good Hope 33,State Auditor,,Lajena  Walley,Reform,5
Jefferson Davis,Granby 11,Governor,,Phil  Bryant,Republican,41
Jefferson Davis,Granby 11,Governor,,Robert  Gray,Democrat,41
Jefferson Davis,Granby 11,Governor,,Shawn  O'Hara,Reform,0
Jefferson Davis,Granby 11,Lieutenant Governor,,Tim  Johnson,Democrat,42
Jefferson Davis,Granby 11,Lieutenant Governor,,Tate  Reeves,Republican,36
Jefferson Davis,Granby 11,Lieutenant Governor,,Ron  Williams,Libertarian,3
Jefferson Davis,Granby 11,Lieutenant Governor,,Rosa  B.  Williams,Reform,0
Jefferson Davis,Granby 11,Secretary of State,,Charles  E.  Graham,Democrat,44
Jefferson Davis,Granby 11,Secretary of State,,Delbert  Hosemann,Republican,35
Jefferson Davis,Granby 11,Secretary of State,,Randy  Walker,Reform,2
Jefferson Davis,Granby 11,Attorney General,,Jim  Hood,Democrat,56
Jefferson Davis,Granby 11,Attorney General,,Mike  Hurst,Republican,25
Jefferson Davis,Granby 11,State Auditor,,Stacey  E.  Pickering,Republican,36
Jefferson Davis,Granby 11,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,44
Jefferson Davis,Granby 11,State Auditor,,Lajena  Walley,Reform,0
Jefferson Davis,Green's Creek 23,Governor,,Phil  Bryant,Republican,149
Jefferson Davis,Green's Creek 23,Governor,,Robert  Gray,Democrat,53
Jefferson Davis,Green's Creek 23,Governor,,Shawn  O'Hara,Reform,2
Jefferson Davis,Green's Creek 23,Lieutenant Governor,,Tim  Johnson,Democrat,55
Jefferson Davis,Green's Creek 23,Lieutenant Governor,,Tate  Reeves,Republican,144
Jefferson Davis,Green's Creek 23,Lieutenant Governor,,Ron  Williams,Libertarian,1
Jefferson Davis,Green's Creek 23,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Jefferson Davis,Green's Creek 23,Secretary of State,,Charles  E.  Graham,Democrat,65
Jefferson Davis,Green's Creek 23,Secretary of State,,Delbert  Hosemann,Republican,130
Jefferson Davis,Green's Creek 23,Secretary of State,,Randy  Walker,Reform,8
Jefferson Davis,Green's Creek 23,Attorney General,,Jim  Hood,Democrat,104
Jefferson Davis,Green's Creek 23,Attorney General,,Mike  Hurst,Republican,96
Jefferson Davis,Green's Creek 23,State Auditor,,Stacey  E.  Pickering,Republican,145
Jefferson Davis,Green's Creek 23,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,56
Jefferson Davis,Green's Creek 23,State Auditor,,Lajena  Walley,Reform,2
Jefferson Davis,Gwinville 51,Governor,,Phil  Bryant,Republican,29
Jefferson Davis,Gwinville 51,Governor,,Robert  Gray,Democrat,55
Jefferson Davis,Gwinville 51,Governor,,Shawn  O'Hara,Reform,2
Jefferson Davis,Gwinville 51,Lieutenant Governor,,Tim  Johnson,Democrat,56
Jefferson Davis,Gwinville 51,Lieutenant Governor,,Tate  Reeves,Republican,25
Jefferson Davis,Gwinville 51,Lieutenant Governor,,Ron  Williams,Libertarian,3
Jefferson Davis,Gwinville 51,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Jefferson Davis,Gwinville 51,Secretary of State,,Charles  E.  Graham,Democrat,62
Jefferson Davis,Gwinville 51,Secretary of State,,Delbert  Hosemann,Republican,24
Jefferson Davis,Gwinville 51,Secretary of State,,Randy  Walker,Reform,1
Jefferson Davis,Gwinville 51,Attorney General,,Jim  Hood,Democrat,73
Jefferson Davis,Gwinville 51,Attorney General,,Mike  Hurst,Republican,16
Jefferson Davis,Gwinville 51,State Auditor,,Stacey  E.  Pickering,Republican,26
Jefferson Davis,Gwinville 51,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,60
Jefferson Davis,Gwinville 51,State Auditor,,Lajena  Walley,Reform,0
Jefferson Davis,Hathorn 24,Governor,,Phil  Bryant,Republican,89
Jefferson Davis,Hathorn 24,Governor,,Robert  Gray,Democrat,26
Jefferson Davis,Hathorn 24,Governor,,Shawn  O'Hara,Reform,0
Jefferson Davis,Hathorn 24,Lieutenant Governor,,Tim  Johnson,Democrat,26
Jefferson Davis,Hathorn 24,Lieutenant Governor,,Tate  Reeves,Republican,82
Jefferson Davis,Hathorn 24,Lieutenant Governor,,Ron  Williams,Libertarian,1
Jefferson Davis,Hathorn 24,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Jefferson Davis,Hathorn 24,Secretary of State,,Charles  E.  Graham,Democrat,37
Jefferson Davis,Hathorn 24,Secretary of State,,Delbert  Hosemann,Republican,76
Jefferson Davis,Hathorn 24,Secretary of State,,Randy  Walker,Reform,0
Jefferson Davis,Hathorn 24,Attorney General,,Jim  Hood,Democrat,58
Jefferson Davis,Hathorn 24,Attorney General,,Mike  Hurst,Republican,58
Jefferson Davis,Hathorn 24,State Auditor,,Stacey  E.  Pickering,Republican,83
Jefferson Davis,Hathorn 24,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,31
Jefferson Davis,Hathorn 24,State Auditor,,Lajena  Walley,Reform,0
Jefferson Davis,Hebron 52,Governor,,Phil  Bryant,Republican,42
Jefferson Davis,Hebron 52,Governor,,Robert  Gray,Democrat,36
Jefferson Davis,Hebron 52,Governor,,Shawn  O'Hara,Reform,0
Jefferson Davis,Hebron 52,Lieutenant Governor,,Tim  Johnson,Democrat,40
Jefferson Davis,Hebron 52,Lieutenant Governor,,Tate  Reeves,Republican,37
Jefferson Davis,Hebron 52,Lieutenant Governor,,Ron  Williams,Libertarian,1
Jefferson Davis,Hebron 52,Lieutenant Governor,,Rosa  B.  Williams,Reform,0
Jefferson Davis,Hebron 52,Secretary of State,,Charles  E.  Graham,Democrat,41
Jefferson Davis,Hebron 52,Secretary of State,,Delbert  Hosemann,Republican,35
Jefferson Davis,Hebron 52,Secretary of State,,Randy  Walker,Reform,2
Jefferson Davis,Hebron 52,Attorney General,,Jim  Hood,Democrat,55
Jefferson Davis,Hebron 52,Attorney General,,Mike  Hurst,Republican,24
Jefferson Davis,Hebron 52,State Auditor,,Stacey  E.  Pickering,Republican,35
Jefferson Davis,Hebron 52,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,41
Jefferson Davis,Hebron 52,State Auditor,,Lajena  Walley,Reform,0
Jefferson Davis,Melba 34,Governor,,Phil  Bryant,Republican,36
Jefferson Davis,Melba 34,Governor,,Robert  Gray,Democrat,8
Jefferson Davis,Melba 34,Governor,,Shawn  O'Hara,Reform,2
Jefferson Davis,Melba 34,Lieutenant Governor,,Tim  Johnson,Democrat,10
Jefferson Davis,Melba 34,Lieutenant Governor,,Tate  Reeves,Republican,32
Jefferson Davis,Melba 34,Lieutenant Governor,,Ron  Williams,Libertarian,3
Jefferson Davis,Melba 34,Lieutenant Governor,,Rosa  B.  Williams,Reform,0
Jefferson Davis,Melba 34,Secretary of State,,Charles  E.  Graham,Democrat,12
Jefferson Davis,Melba 34,Secretary of State,,Delbert  Hosemann,Republican,29
Jefferson Davis,Melba 34,Secretary of State,,Randy  Walker,Reform,3
Jefferson Davis,Melba 34,Attorney General,,Jim  Hood,Democrat,22
Jefferson Davis,Melba 34,Attorney General,,Mike  Hurst,Republican,22
Jefferson Davis,Melba 34,State Auditor,,Stacey  E.  Pickering,Republican,35
Jefferson Davis,Melba 34,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,8
Jefferson Davis,Melba 34,State Auditor,,Lajena  Walley,Reform,1
Jefferson Davis,Mt Carmel 42,Governor,,Phil  Bryant,Republican,32
Jefferson Davis,Mt Carmel 42,Governor,,Robert  Gray,Democrat,98
Jefferson Davis,Mt Carmel 42,Governor,,Shawn  O'Hara,Reform,0
Jefferson Davis,Mt Carmel 42,Lieutenant Governor,,Tim  Johnson,Democrat,109
Jefferson Davis,Mt Carmel 42,Lieutenant Governor,,Tate  Reeves,Republican,17
Jefferson Davis,Mt Carmel 42,Lieutenant Governor,,Ron  Williams,Libertarian,2
Jefferson Davis,Mt Carmel 42,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Jefferson Davis,Mt Carmel 42,Secretary of State,,Charles  E.  Graham,Democrat,108
Jefferson Davis,Mt Carmel 42,Secretary of State,,Delbert  Hosemann,Republican,14
Jefferson Davis,Mt Carmel 42,Secretary of State,,Randy  Walker,Reform,5
Jefferson Davis,Mt Carmel 42,Attorney General,,Jim  Hood,Democrat,128
Jefferson Davis,Mt Carmel 42,Attorney General,,Mike  Hurst,Republican,4
Jefferson Davis,Mt Carmel 42,State Auditor,,Stacey  E.  Pickering,Republican,20
Jefferson Davis,Mt Carmel 42,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,102
Jefferson Davis,Mt Carmel 42,State Auditor,,Lajena  Walley,Reform,4
Jefferson Davis,NE Prentiss 43,Governor,,Phil  Bryant,Republican,155
Jefferson Davis,NE Prentiss 43,Governor,,Robert  Gray,Democrat,242
Jefferson Davis,NE Prentiss 43,Governor,,Shawn  O'Hara,Reform,3
Jefferson Davis,NE Prentiss 43,Lieutenant Governor,,Tim  Johnson,Democrat,240
Jefferson Davis,NE Prentiss 43,Lieutenant Governor,,Tate  Reeves,Republican,137
Jefferson Davis,NE Prentiss 43,Lieutenant Governor,,Ron  Williams,Libertarian,14
Jefferson Davis,NE Prentiss 43,Lieutenant Governor,,Rosa  B.  Williams,Reform,7
Jefferson Davis,NE Prentiss 43,Secretary of State,,Charles  E.  Graham,Democrat,254
Jefferson Davis,NE Prentiss 43,Secretary of State,,Delbert  Hosemann,Republican,133
Jefferson Davis,NE Prentiss 43,Secretary of State,,Randy  Walker,Reform,12
Jefferson Davis,NE Prentiss 43,Attorney General,,Jim  Hood,Democrat,312
Jefferson Davis,NE Prentiss 43,Attorney General,,Mike  Hurst,Republican,89
Jefferson Davis,NE Prentiss 43,State Auditor,,Stacey  E.  Pickering,Republican,143
Jefferson Davis,NE Prentiss 43,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,254
Jefferson Davis,NE Prentiss 43,State Auditor,,Lajena  Walley,Reform,4
Jefferson Davis,NW Prentiss 53,Governor,,Phil  Bryant,Republican,69
Jefferson Davis,NW Prentiss 53,Governor,,Robert  Gray,Democrat,101
Jefferson Davis,NW Prentiss 53,Governor,,Shawn  O'Hara,Reform,1
Jefferson Davis,NW Prentiss 53,Lieutenant Governor,,Tim  Johnson,Democrat,104
Jefferson Davis,NW Prentiss 53,Lieutenant Governor,,Tate  Reeves,Republican,54
Jefferson Davis,NW Prentiss 53,Lieutenant Governor,,Ron  Williams,Libertarian,6
Jefferson Davis,NW Prentiss 53,Lieutenant Governor,,Rosa  B.  Williams,Reform,4
Jefferson Davis,NW Prentiss 53,Secretary of State,,Charles  E.  Graham,Democrat,109
Jefferson Davis,NW Prentiss 53,Secretary of State,,Delbert  Hosemann,Republican,54
Jefferson Davis,NW Prentiss 53,Secretary of State,,Randy  Walker,Reform,3
Jefferson Davis,NW Prentiss 53,Attorney General,,Jim  Hood,Democrat,132
Jefferson Davis,NW Prentiss 53,Attorney General,,Mike  Hurst,Republican,36
Jefferson Davis,NW Prentiss 53,State Auditor,,Stacey  E.  Pickering,Republican,60
Jefferson Davis,NW Prentiss 53,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,103
Jefferson Davis,NW Prentiss 53,State Auditor,,Lajena  Walley,Reform,4
Jefferson Davis,Red House 55,Governor,,Phil  Bryant,Republican,74
Jefferson Davis,Red House 55,Governor,,Robert  Gray,Democrat,122
Jefferson Davis,Red House 55,Governor,,Shawn  O'Hara,Reform,2
Jefferson Davis,Red House 55,Lieutenant Governor,,Tim  Johnson,Democrat,129
Jefferson Davis,Red House 55,Lieutenant Governor,,Tate  Reeves,Republican,58
Jefferson Davis,Red House 55,Lieutenant Governor,,Ron  Williams,Libertarian,6
Jefferson Davis,Red House 55,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Jefferson Davis,Red House 55,Secretary of State,,Charles  E.  Graham,Democrat,122
Jefferson Davis,Red House 55,Secretary of State,,Delbert  Hosemann,Republican,69
Jefferson Davis,Red House 55,Secretary of State,,Randy  Walker,Reform,5
Jefferson Davis,Red House 55,Attorney General,,Jim  Hood,Democrat,159
Jefferson Davis,Red House 55,Attorney General,,Mike  Hurst,Republican,41
Jefferson Davis,Red House 55,State Auditor,,Stacey  E.  Pickering,Republican,73
Jefferson Davis,Red House 55,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,122
Jefferson Davis,Red House 55,State Auditor,,Lajena  Walley,Reform,0
Jefferson Davis,Son's Academy 25,Governor,,Phil  Bryant,Republican,52
Jefferson Davis,Son's Academy 25,Governor,,Robert  Gray,Democrat,85
Jefferson Davis,Son's Academy 25,Governor,,Shawn  O'Hara,Reform,1
Jefferson Davis,Son's Academy 25,Lieutenant Governor,,Tim  Johnson,Democrat,92
Jefferson Davis,Son's Academy 25,Lieutenant Governor,,Tate  Reeves,Republican,39
Jefferson Davis,Son's Academy 25,Lieutenant Governor,,Ron  Williams,Libertarian,5
Jefferson Davis,Son's Academy 25,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Jefferson Davis,Son's Academy 25,Secretary of State,,Charles  E.  Graham,Democrat,93
Jefferson Davis,Son's Academy 25,Secretary of State,,Delbert  Hosemann,Republican,43
Jefferson Davis,Son's Academy 25,Secretary of State,,Randy  Walker,Reform,2
Jefferson Davis,Son's Academy 25,Attorney General,,Jim  Hood,Democrat,112
Jefferson Davis,Son's Academy 25,Attorney General,,Mike  Hurst,Republican,28
Jefferson Davis,Son's Academy 25,State Auditor,,Stacey  E.  Pickering,Republican,45
Jefferson Davis,Son's Academy 25,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,93
Jefferson Davis,Son's Academy 25,State Auditor,,Lajena  Walley,Reform,0
Jefferson Davis,S Prentiss 12,Governor,,Phil  Bryant,Republican,245
Jefferson Davis,S Prentiss 12,Governor,,Robert  Gray,Democrat,121
Jefferson Davis,S Prentiss 12,Governor,,Shawn  O'Hara,Reform,6
Jefferson Davis,S Prentiss 12,Lieutenant Governor,,Tim  Johnson,Democrat,134
Jefferson Davis,S Prentiss 12,Lieutenant Governor,,Tate  Reeves,Republican,228
Jefferson Davis,S Prentiss 12,Lieutenant Governor,,Ron  Williams,Libertarian,4
Jefferson Davis,S Prentiss 12,Lieutenant Governor,,Rosa  B.  Williams,Reform,6
Jefferson Davis,S Prentiss 12,Secretary of State,,Charles  E.  Graham,Democrat,137
Jefferson Davis,S Prentiss 12,Secretary of State,,Delbert  Hosemann,Republican,226
Jefferson Davis,S Prentiss 12,Secretary of State,,Randy  Walker,Reform,7
Jefferson Davis,S Prentiss 12,Attorney General,,Jim  Hood,Democrat,196
Jefferson Davis,S Prentiss 12,Attorney General,,Mike  Hurst,Republican,172
Jefferson Davis,S Prentiss 12,State Auditor,,Stacey  E.  Pickering,Republican,228
Jefferson Davis,S Prentiss 12,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,139
Jefferson Davis,S Prentiss 12,State Auditor,,Lajena  Walley,Reform,4
Jefferson Davis,S Prentiss 13,Governor,,Phil  Bryant,Republican,128
Jefferson Davis,S Prentiss 13,Governor,,Robert  Gray,Democrat,147
Jefferson Davis,S Prentiss 13,Governor,,Shawn  O'Hara,Reform,1
Jefferson Davis,S Prentiss 13,Lieutenant Governor,,Tim  Johnson,Democrat,147
Jefferson Davis,S Prentiss 13,Lieutenant Governor,,Tate  Reeves,Republican,118
Jefferson Davis,S Prentiss 13,Lieutenant Governor,,Ron  Williams,Libertarian,9
Jefferson Davis,S Prentiss 13,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Jefferson Davis,S Prentiss 13,Secretary of State,,Charles  E.  Graham,Democrat,149
Jefferson Davis,S Prentiss 13,Secretary of State,,Delbert  Hosemann,Republican,116
Jefferson Davis,S Prentiss 13,Secretary of State,,Randy  Walker,Reform,8
Jefferson Davis,S Prentiss 13,Attorney General,,Jim  Hood,Democrat,207
Jefferson Davis,S Prentiss 13,Attorney General,,Mike  Hurst,Republican,70
Jefferson Davis,S Prentiss 13,State Auditor,,Stacey  E.  Pickering,Republican,128
Jefferson Davis,S Prentiss 13,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,139
Jefferson Davis,S Prentiss 13,State Auditor,,Lajena  Walley,Reform,3
Jefferson Davis,Whiting 56,Governor,,Phil  Bryant,Republican,44
Jefferson Davis,Whiting 56,Governor,,Robert  Gray,Democrat,128
Jefferson Davis,Whiting 56,Governor,,Shawn  O'Hara,Reform,1
Jefferson Davis,Whiting 56,Lieutenant Governor,,Tim  Johnson,Democrat,133
Jefferson Davis,Whiting 56,Lieutenant Governor,,Tate  Reeves,Republican,36
Jefferson Davis,Whiting 56,Lieutenant Governor,,Ron  Williams,Libertarian,2
Jefferson Davis,Whiting 56,Lieutenant Governor,,Rosa  B.  Williams,Reform,1
Jefferson Davis,Whiting 56,Secretary of State,,Charles  E.  Graham,Democrat,140
Jefferson Davis,Whiting 56,Secretary of State,,Delbert  Hosemann,Republican,30
Jefferson Davis,Whiting 56,Secretary of State,,Randy  Walker,Reform,6
Jefferson Davis,Whiting 56,Attorney General,,Jim  Hood,Democrat,150
Jefferson Davis,Whiting 56,Attorney General,,Mike  Hurst,Republican,23
Jefferson Davis,Whiting 56,State Auditor,,Stacey  E.  Pickering,Republican,40
Jefferson Davis,Whiting 56,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,129
Jefferson Davis,Whiting 56,State Auditor,,Lajena  Walley,Reform,1
Jefferson Davis,Williamson Mill 44,Governor,,Phil  Bryant,Republican,133
Jefferson Davis,Williamson Mill 44,Governor,,Robert  Gray,Democrat,57
Jefferson Davis,Williamson Mill 44,Governor,,Shawn  O'Hara,Reform,1
Jefferson Davis,Williamson Mill 44,Lieutenant Governor,,Tim  Johnson,Democrat,63
Jefferson Davis,Williamson Mill 44,Lieutenant Governor,,Tate  Reeves,Republican,121
Jefferson Davis,Williamson Mill 44,Lieutenant Governor,,Ron  Williams,Libertarian,4
Jefferson Davis,Williamson Mill 44,Lieutenant Governor,,Rosa  B.  Williams,Reform,3
Jefferson Davis,Williamson Mill 44,Secretary of State,,Charles  E.  Graham,Democrat,67
Jefferson Davis,Williamson Mill 44,Secretary of State,,Delbert  Hosemann,Republican,125
Jefferson Davis,Williamson Mill 44,Secretary of State,,Randy  Walker,Reform,1
Jefferson Davis,Williamson Mill 44,Attorney General,,Jim  Hood,Democrat,96
Jefferson Davis,Williamson Mill 44,Attorney General,,Mike  Hurst,Republican,101
Jefferson Davis,Williamson Mill 44,State Auditor,,Stacey  E.  Pickering,Republican,126
Jefferson Davis,Williamson Mill 44,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,64
Jefferson Davis,Williamson Mill 44,State Auditor,,Lajena  Walley,Reform,1
Jefferson Davis,,Governor,,Phil  Bryant,Republican,2009
Jefferson Davis,,Governor,,Robert  Gray,Democrat,2032
Jefferson Davis,,Governor,,Shawn  O'Hara,Reform,39
Jefferson Davis,,Lieutenant Governor,,Tim  Johnson,Democrat,2107
Jefferson Davis,,Lieutenant Governor,,Tate  Reeves,Republican,1791
Jefferson Davis,,Lieutenant Governor,,Ron  Williams,Libertarian,98
Jefferson Davis,,Lieutenant Governor,,Rosa  B.  Williams,Reform,56
Jefferson Davis,,Secretary of State,,Charles  E.  Graham,Democrat,2238
Jefferson Davis,,Secretary of State,,Delbert  Hosemann,Republican,1717
Jefferson Davis,,Secretary of State,,Randy  Walker,Reform,92
Jefferson Davis,,Attorney General,,Jim  Hood,Democrat,2900
Jefferson Davis,,Attorney General,,Mike  Hurst,Republican,1181
Jefferson Davis,,State Auditor,,Stacey  E.  Pickering,Republican,1819
Jefferson Davis,,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,2161
Jefferson Davis,,State Auditor,,Lajena  Walley,Reform,42
Jefferson Davis,Bassfield 26,State Treasurer,,Lynn Fitch,Republican,170
Jefferson Davis,Bassfield 26,State Treasurer,,Viola McFarland,Reform,52
Jefferson Davis,Bassfield 26,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,112
Jefferson Davis,Bassfield 26,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,135
Jefferson Davis,Bassfield 26,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,1
Jefferson Davis,Bassfield 26,Commissioner of Insurance,,Mike Chaney,Republican,201
