candidate,office,district,party,county,votes
Randy Mitchell,State House,14,Democrat,Union,2808
Margaret Ellis Rogers,State House,14,Democrat,Union,3134
Margaret Ellis Rogers,State House,14,Democrat,,3204
Pam Denham,State House,14,Democrat,,1897
Randy Mitchell,State House,14,Democrat,,2950
Mark Ivey Burton,State Senate,14,Democrat,Attala,3262
Mark Ivey Burton,State Senate,14,Democrat,Grenada,2174
Mark Ivey Burton,State Senate,14,Democrat,Leflore,477
Mark Ivey Burton,State Senate,14,Democrat,,5913
Keith Herring,State House,15,Democrat,Pontotoc,1578
Pat Montgomery,State House,15,Democrat,Pontotoc,3919
Jon David Naugher,State House,15,Democrat,Pontotoc,2375
Jon David Naugher,State House,15,Democrat,,2375
Keith Herring,State House,15,Democrat,,1578
Pat Montgomery,State House,15,Democrat,,3919
Jon David Naugher,State House,15,Democrat,,3737
Gloria Liddell,State Senate,15,Democrat,Attala,270
Cecil L. Simmons,State Senate,15,Democrat,Attala,506
Gloria Liddell,State Senate,15,Democrat,Calhoun,130
Cecil L. Simmons,State Senate,15,Democrat,Calhoun,282
Gloria Liddell,State Senate,15,Democrat,Choctaw,1138
Cecil L. Simmons,State Senate,15,Democrat,Choctaw,1821
Gloria Liddell,State Senate,15,Democrat,Montgomery,287
Cecil L. Simmons,State Senate,15,Democrat,Montgomery,1530
Gloria Liddell,State Senate,15,Democrat,Oktibbeha,1117
Cecil L. Simmons,State Senate,15,Democrat,Oktibbeha,1915
Gloria Liddell,State Senate,15,Democrat,Webster,1340
Cecil L. Simmons,State Senate,15,Democrat,Webster,2672
Gloria Liddell,State Senate,15,Democrat,Winston,230
Cecil L. Simmons,State Senate,15,Democrat,Winston,292
Cecil L. Simmons,State Senate,15,Democrat,,9018
Gloria Liddell,State Senate,15,Democrat,,4512
Jon David Naugher,State House,16,Democrat,Lee,3737
Bennie L. Turner,State Senate,16,Democrat,Clay,251
Bennie L. Turner,State Senate,16,Democrat,Oktibbeha,2314
Bennie L. Turner,State Senate,16,Democrat,,2565
Leon Clay,State House,17,Democrat,Lee,2109
Kelly L. Mims,State House,17,Democrat,Lee,2168
Kelly L. Mims,State House,17,Democrat,,2168
Leon Clay,State House,17,Democrat,,2109
Christi Antillon-Webb,State House,18,Democrat,Lee,1357
Scott Messer,State House,18,Democrat,Lee,1481
Billy W. Shelton,State House,18,Democrat,Lee,634
Christi Antillon-Webb,State House,18,Democrat,Prentiss,954
Scott Messer,State House,18,Democrat,Prentiss,183
Billy W. Shelton,State House,18,Democrat,Prentiss,227
Billy W. Shelton,State House,18,Democrat,,861
Christi Antillon-Webb,State House,18,Democrat,,2311
Scott Messer,State House,18,Democrat,,1664
Gloria C. Williamson,State Senate,18,Democrat,Leake,4184
Gloria C. Williamson,State Senate,18,Democrat,Neshoba,5947
Gloria C. Williamson,State Senate,18,Democrat,Winston,2580
Gloria C. Williamson,State Senate,18,Democrat,,12711
"James R. (Jamie) Franks, Jr.",State House,19,Democrat,Itawamba,2060
Sid Kirksey,State House,19,Democrat,Itawamba,1968
"James R. (Jamie) Franks, Jr.",State House,19,Democrat,Lee,1555
Sid Kirksey,State House,19,Democrat,Lee,771
"James R. (Jamie) Franks, Jr.",State House,19,Democrat,Tishomingo,912
Sid Kirksey,State House,19,Democrat,Tishomingo,608
"James R. (Jamie) Franks, Jr.",State House,19,Democrat,,4527
Sid Kirksey,State House,19,Democrat,,3347
William T. (Bill) Miles,State House,21,Democrat,Itawamba,4211
William T. (Bill) Miles,State House,21,Democrat,,4211
Eugene Fouche,State Senate,21,Democrat,Attala,315
Kenneth Wayne Jones,State Senate,21,Democrat,Attala,417
Rob Martin,State Senate,21,Democrat,Attala,230
Alice Julius Scott,State Senate,21,Democrat,Attala,256
Joseph C. Thomas,State Senate,21,Democrat,Attala,160
Eugene Fouche,State Senate,21,Democrat,Holmes,181
Kenneth Wayne Jones,State Senate,21,Democrat,Holmes,93
Rob Martin,State Senate,21,Democrat,Holmes,69
Alice Julius Scott,State Senate,21,Democrat,Holmes,232
Joseph C. Thomas,State Senate,21,Democrat,Holmes,79
Eugene Fouche,State Senate,21,Democrat,Madison,203
Kenneth Wayne Jones,State Senate,21,Democrat,Madison,1117
Rob Martin,State Senate,21,Democrat,Madison,886
Alice Julius Scott,State Senate,21,Democrat,Madison,2098
Joseph C. Thomas,State Senate,21,Democrat,Madison,233
Eugene Fouche,State Senate,21,Democrat,Yazoo,1091
Kenneth Wayne Jones,State Senate,21,Democrat,Yazoo,198
Rob Martin,State Senate,21,Democrat,Yazoo,259
Alice Julius Scott,State Senate,21,Democrat,Yazoo,597
Joseph C. Thomas,State Senate,21,Democrat,Yazoo,1470
Alice Julius Scott,State Senate,21,Democrat,,3183
Eugene Fouche,State Senate,21,Democrat,,1790
Joseph C. Thomas,State Senate,21,Democrat,,1942
Kenneth Wayne Jones,State Senate,21,Democrat,,1825
Rob Martin,State Senate,21,Democrat,,1444
James (Jay) Gore,State House,22,Democrat,Calhoun,397
Lamon K. Griggs,State House,22,Democrat,Calhoun,172
Donnie Wayne Sullivan,State House,22,Democrat,Calhoun,80
Preston E. Sullivan,State House,22,Democrat,Calhoun,79
James (Jay) Gore,State House,22,Democrat,Chickasaw,2153
Lamon K. Griggs,State House,22,Democrat,Chickasaw,1619
Donnie Wayne Sullivan,State House,22,Democrat,Chickasaw,1170
Preston E. Sullivan,State House,22,Democrat,Chickasaw,2033
James (Jay) Gore,State House,22,Democrat,Pontotoc,129
Lamon K. Griggs,State House,22,Democrat,Pontotoc,157
Donnie Wayne Sullivan,State House,22,Democrat,Pontotoc,166
Preston E. Sullivan,State House,22,Democrat,Pontotoc,129
Donnie Wayne Sullivan,State House,22,Democrat,,1416
James (Jay) Gore,State House,22,Democrat,,2679
Lamon K. Griggs,State House,22,Democrat,,1948
Preston E. Sullivan,State House,22,Democrat,,2241
Mala U. Brooks,State Senate,22,Democrat,Sharkey,1458
Mala U. Brooks,State Senate,22,Democrat,Yazoo,238
Mala U. Brooks,State Senate,22,Democrat,,1696
"Joe T. (Joey) Grist, Jr.",State House,23,Democrat,Calhoun,2062
Steve Whitten,State House,23,Democrat,Calhoun,2192
"Joe T. (Joey) Grist, Jr.",State House,23,Democrat,Oktibbeha,301
Steve Whitten,State House,23,Democrat,Oktibbeha,460
"Joe T. (Joey) Grist, Jr.",State House,23,Democrat,Webster,312
Steve Whitten,State House,23,Democrat,Webster,689
"Joe T. (Joey) Grist, Jr.",State House,23,Democrat,,2675
Steve Whitten,State House,23,Democrat,,3341
Marcie Tanner Southerland,State Senate,23,Democrat,Issaquena,653
Marcie Tanner Southerland,State Senate,23,Democrat,Warren,4572
Marcie Tanner Southerland,State Senate,23,Democrat,,5225
Sidney W. Bondurant,State House,24,Democrat,Calhoun,66
Donny Ryals,State House,24,Democrat,Calhoun,77
Sidney W. Bondurant,State House,24,Democrat,Grenada,2748
Donny Ryals,State House,24,Democrat,Grenada,2342
Sidney W. Bondurant,State House,24,Democrat,Yalobusha,564
Donny Ryals,State House,24,Democrat,Yalobusha,563
Donny Ryals,State House,24,Democrat,,2982
Sidney W. Bondurant,State House,24,Democrat,,3378
David Jordan,State Senate,24,Democrat,Leflore,2371
David Jordan,State Senate,24,Democrat,,2371
John Mayo,State House,25,Democrat,Tunica,308
John Mayo,State House,25,Democrat,,308
Chuck Espy,State House,26,Democrat,Coahoma,3059
Buster Moton,State House,26,Democrat,Coahoma,801
Chuck Espy,State House,26,Democrat,Quitman,713
Buster Moton,State House,26,Democrat,Quitman,196
Buster Moton,State House,26,Democrat,,997
Chuck Espy,State House,26,Democrat,,3772
John Horhn,State Senate,26,Democrat,Hinds,7168
John Horhn,State Senate,26,Democrat,Madison,151
John Horhn,State Senate,26,Democrat,,7319
Ferr Smith,State House,27,Democrat,Attala,1877
Ferr Smith,State House,27,Democrat,Leake,1336
Ferr Smith,State House,27,Democrat,Madison,1034
Ferr Smith,State House,27,Democrat,,4247
Hillman Terome Frazier,State Senate,27,Democrat,Hinds,6422
Hillman Terome Frazier,State Senate,27,Democrat,,6422
Pam Confer,State Senate,28,Democrat,Hinds,1631
Alice Varnado Harden,State Senate,28,Democrat,Hinds,4171
Alice Varnado Harden,State Senate,28,Democrat,,4171
Pam Confer,State Senate,28,Democrat,,1631
Dewayne Thomas,State Senate,29,Democrat,Hinds,5595
Dewayne Thomas,State Senate,29,Democrat,,5595
Robert E. Huddleston,State House,30,Democrat,Leflore,44
Mark A. Morgan,State House,30,Democrat,Leflore,11
Robert E. Huddleston,State House,30,Democrat,Quitman,352
Mark A. Morgan,State House,30,Democrat,Quitman,95
Robert E. Huddleston,State House,30,Democrat,Sunflower,947
Mark A. Morgan,State House,30,Democrat,Sunflower,733
Robert E. Huddleston,State House,30,Democrat,Tallahatchie,1568
Mark A. Morgan,State House,30,Democrat,Tallahatchie,675
Mark A. Morgan,State House,30,Democrat,,1514
Robert E. Huddleston,State House,30,Democrat,,2911
Jason Mangum,State Senate,31,Democrat,Lauderdale,326
Jason Mangum,State Senate,31,Democrat,Scott,3412
Jason Mangum,State Senate,31,Democrat,,3738
"Willie J. Perkins, Sr.",State House,32,Democrat,Leflore,1555
"Willie J. Perkins, Sr.",State House,32,Democrat,,1555
"Sampson Jackson, II",State Senate,32,Democrat,Lauderdale,1279
"Sampson Jackson, II",State Senate,32,Democrat,Wilson,3493
"Sampson Jackson, II",State Senate,32,Democrat,,4772
Thomas U. (Tommy) Reynolds,State House,33,Democrat,Lafayette,602
Johnny (Greene) Sayle,State House,33,Democrat,Lafayette,271
Thomas U. (Tommy) Reynolds,State House,33,Democrat,Tallahatchie,2811
Johnny (Greene) Sayle,State House,33,Democrat,Tallahatchie,664
Thomas U. (Tommy) Reynolds,State House,33,Democrat,Yalobusha,3920
Johnny (Greene) Sayle,State House,33,Democrat,Yalobusha,731
Johnny (Greene) Sayle,State House,33,Democrat,,1666
Thomas U. (Tommy) Reynolds,State House,33,Democrat,,7333
May Whittington,State House,34,Democrat,Leflore,701
May Whittington,State House,34,Democrat,,701
Dennis R. Robinson,State Senate,34,Democrat,Jasper,1321
Jack N. Staples,State Senate,34,Democrat,Jasper,1179
Billy H. Thames,State Senate,34,Democrat,Jasper,3696
Dennis R. Robinson,State Senate,34,Democrat,Jones,725
Jack N. Staples,State Senate,34,Democrat,Jones,968
Billy H. Thames,State Senate,34,Democrat,Jones,878
Dennis R. Robinson,State Senate,34,Democrat,Scott,922
Jack N. Staples,State Senate,34,Democrat,Scott,451
Billy H. Thames,State Senate,34,Democrat,Scott,1942
Dennis R. Robinson,State Senate,34,Democrat,Smith,2087
Jack N. Staples,State Senate,34,Democrat,Smith,467
Billy H. Thames,State Senate,34,Democrat,Smith,3895
Billy H. Thames,State Senate,34,Democrat,,10411
Dennis R. Robinson,State Senate,34,Democrat,,5055
Jack N. Staples,State Senate,34,Democrat,,3065
Glenn D. Burdine,State House,35,Democrat,Choctaw,1321
Jimmy W. (Pete) Powell,State House,35,Democrat,Choctaw,1141
Glenn D. Burdine,State House,35,Democrat,Grenada,16
Jimmy W. (Pete) Powell,State House,35,Democrat,Grenada,69
Glenn D. Burdine,State House,35,Democrat,Oktibbeha,513
Jimmy W. (Pete) Powell,State House,35,Democrat,Oktibbeha,563
Glenn D. Burdine,State House,35,Democrat,Webster,1343
Jimmy W. (Pete) Powell,State House,35,Democrat,Webster,1637
Glenn D. Burdine,State House,35,Democrat,,3193
Jimmy W. (Pete) Powell,State House,35,Democrat,,3410
Daniel D. Ware,State Senate,35,Democrat,Copiah,805
Daniel D. Ware,State Senate,35,Democrat,Covington,2969
Daniel D. Ware,State Senate,35,Democrat,Rankin,811
Daniel D. Ware,State Senate,35,Democrat,,4585
David Gibbs,State House,36,Democrat,Clay,160
David W. Lambert,State House,36,Democrat,Clay,139
David Gibbs,State House,36,Democrat,Lowndes,45
David W. Lambert,State House,36,Democrat,Lowndes,45
David Gibbs,State House,36,Democrat,Monroe,1442
David W. Lambert,State House,36,Democrat,Monroe,616
David Gibbs,State House,36,Democrat,,1647
David W. Lambert,State House,36,Democrat,,800
E. Vincent Davis,State Senate,36,Democrat,Claiborne,725
Johnnie McDaniels,State Senate,36,Democrat,Claiborne,1743
Lynn Posey,State Senate,36,Democrat,Claiborne,1037
E. Vincent Davis,State Senate,36,Democrat,Copiah,2005
Johnnie McDaniels,State Senate,36,Democrat,Copiah,822
Lynn Posey,State Senate,36,Democrat,Copiah,4299
E. Vincent Davis,State Senate,36,Democrat,Hinds,246
Johnnie McDaniels,State Senate,36,Democrat,Hinds,131
Lynn Posey,State Senate,36,Democrat,Hinds,309
E. Vincent Davis,State Senate,36,Democrat,Jefferson,1833
Johnnie McDaniels,State Senate,36,Democrat,Jefferson,171
Lynn Posey,State Senate,36,Democrat,Jefferson,1649
E. Vincent Davis,State Senate,36,Democrat,,4809
Johnnie McDaniels,State Senate,36,Democrat,,2867
Lynn Posey,State Senate,36,Democrat,,7294
Robert M. (Bob) Ford,State House,37,Democrat,Oktibbeha,847
Robert M. (Bob) Ford,State House,37,Democrat,,847
Bob M. Dearing,State Senate,37,Democrat,Adams,6000
Bob M. Dearing,State Senate,37,Democrat,Amite,2366
Bob M. Dearing,State Senate,37,Democrat,Franklin,3070
Bob M. Dearing,State Senate,37,Democrat,,11436
Tyrone Ellis,State House,38,Democrat,Oktibbeha,2341
Tyrone Ellis,State House,38,Democrat,,2341
Kelvin E. Butler,State Senate,38,Democrat,Adams,172
"Robert L. Johnson, III",State Senate,38,Democrat,Adams,1509
Kelvin E. Butler,State Senate,38,Democrat,Amite,1322
"Robert L. Johnson, III",State Senate,38,Democrat,Amite,1016
Kelvin E. Butler,State Senate,38,Democrat,Pike,4443
"Robert L. Johnson, III",State Senate,38,Democrat,Pike,3230
Kelvin E. Butler,State Senate,38,Democrat,Walthall,783
"Robert L. Johnson, III",State Senate,38,Democrat,Walthall,599
Kelvin E. Butler,State Senate,38,Democrat,Wilkinson,1854
"Robert L. Johnson, III",State Senate,38,Democrat,Wilkinson,2009
Kelvin E. Butler,State Senate,38,Democrat,,8574
"Robert L. Johnson, III",State Senate,38,Democrat,,8363
Cindy Hyde-Smith,State Senate,39,Democrat,Lawrence,4086
W.L. Rayborn,State Senate,39,Democrat,Lawrence,1818
Cindy Hyde-Smith,State Senate,39,Democrat,Lincoln,6472
W.L. Rayborn,State Senate,39,Democrat,Lincoln,3893
Cindy Hyde-Smith,State Senate,39,Democrat,Simpson,1386
W.L. Rayborn,State Senate,39,Democrat,Simpson,588
Cindy Hyde-Smith,State Senate,39,Democrat,,11944
W.L. Rayborn,State Senate,39,Democrat,,6299
Ann A. Simmons,State Senate,40,Democrat,Marion,5651
Ann A. Simmons,State Senate,40,Democrat,Pearl River,1406
Ann A. Simmons,State Senate,40,Democrat,Walthall,3341
Ann A. Simmons,State Senate,40,Democrat,,10398
Billy V. Harvey,State Senate,41,Democrat,Covington,2108
Billy V. Harvey,State Senate,41,Democrat,Forrest,1593
Billy V. Harvey,State Senate,41,Democrat,Lamar,1018
Billy V. Harvey,State Senate,41,Democrat,Marion,1330
Billy V. Harvey,State Senate,41,Democrat,,6049
Reecy L. Dickson,State House,42,Democrat,Lauderdale,143
Reecy L. Dickson,State House,42,Democrat,,143
Jones Brogdon,State Senate,42,Democrat,Jones,5211
Randy Ellzey,State Senate,42,Democrat,Jones,6904
Jones Brogdon,State Senate,42,Democrat,,5211
Randy Ellzey,State Senate,42,Democrat,,6904
Douglas A. Lovorn,State House,43,Democrat,Kemper,181
Robert J. (Bobby) Moody,State House,43,Democrat,Kemper,446
Linda Marshall Triplett,State House,43,Democrat,Kemper,127
Douglas A. Lovorn,State House,43,Democrat,Noxubee,28
Robert J. (Bobby) Moody,State House,43,Democrat,Noxubee,24
Linda Marshall Triplett,State House,43,Democrat,Noxubee,0
Douglas A. Lovorn,State House,43,Democrat,Winston,2333
Robert J. (Bobby) Moody,State House,43,Democrat,Winston,4403
Linda Marshall Triplett,State House,43,Democrat,Winston,1470
Douglas A. Lovorn,State House,43,Democrat,,2542
Linda Marshall Triplett,State House,43,Democrat,,1597
Robert J. (Bobby) Moody,State House,43,Democrat,,4873
Billy Z. Gordon,State Senate,43,Democrat,George,2042
Sherra Hillman Lane,State Senate,43,Democrat,George,1626
James (Shannon) Walley,State Senate,43,Democrat,George,2263
Billy Z. Gordon,State Senate,43,Democrat,Greene,1693
Sherra Hillman Lane,State Senate,43,Democrat,Greene,1312
James (Shannon) Walley,State Senate,43,Democrat,Greene,2070
Billy Z. Gordon,State Senate,43,Democrat,Stone,652
Sherra Hillman Lane,State Senate,43,Democrat,Stone,162
James (Shannon) Walley,State Senate,43,Democrat,Stone,144
Billy Z. Gordon,State Senate,43,Democrat,Wayne,1605
Sherra Hillman Lane,State Senate,43,Democrat,Wayne,3563
James (Shannon) Walley,State Senate,43,Democrat,Wayne,2665
Billy Z. Gordon,State Senate,43,Democrat,,5992
James (Shannon) Walley,State Senate,43,Democrat,,7142
Sherra Hillman Lane,State Senate,43,Democrat,,6663
C. Scott Bounds,State House,44,Democrat,Neshoba,2881
Mike Eakes,State House,44,Democrat,Neshoba,2542
Danny R. Petty,State House,44,Democrat,Neshoba,410
C. Scott Bounds,State House,44,Democrat,,2881
Danny R. Petty,State House,44,Democrat,,410
Mike Eakes,State House,44,Democrat,,2542
Bennett Malone,State House,45,Democrat,Leake,2490
Bennett Malone,State House,45,Democrat,Neshoba,117
Bennett Malone,State House,45,Democrat,Rankin,84
Bennett Malone,State House,45,Democrat,Scott,707
Bennett Malone,State House,45,Democrat,,3398
Craig F. Ducksworth,State Senate,45,Democrat,Forrest,840
Ray T. Price,State Senate,45,Democrat,Forrest,1054
Craig F. Ducksworth,State Senate,45,Democrat,Lamar,91
Ray T. Price,State Senate,45,Democrat,Lamar,55
Craig F. Ducksworth,State Senate,45,Democrat,Pearl River,399
Ray T. Price,State Senate,45,Democrat,Pearl River,494
Craig F. Ducksworth,State Senate,45,Democrat,Perry,838
Ray T. Price,State Senate,45,Democrat,Perry,1287
Craig F. Ducksworth,State Senate,45,Democrat,Stone,222
Ray T. Price,State Senate,45,Democrat,Stone,310
Craig F. Ducksworth,State Senate,45,Democrat,,2390
Ray T. Price,State Senate,45,Democrat,,3200
Larry Douglas Hayward,State House,46,Democrat,Alcorn,252
Larry Douglas Hayward,State House,46,Democrat,George,780
Larry Douglas Hayward,State House,46,Democrat,,1032
Scottie R. Cuevas,State Senate,46,Democrat,Hancock,6386
Scottie R. Cuevas,State Senate,46,Democrat,,6386
Bryant W. Clark,State House,47,Democrat,Attala,66
Leroy J. Johnson,State House,47,Democrat,Attala,13
Bryant W. Clark,State House,47,Democrat,Holmes,2631
Leroy J. Johnson,State House,47,Democrat,Holmes,1184
Bryant W. Clark,State House,47,Democrat,,2697
Leroy J. Johnson,State House,47,Democrat,,1197
Ezell Lee,State Senate,47,Democrat,Jackson,2150
Ezell Lee,State Senate,47,Democrat,Pearl River,1394
Ezell Lee,State Senate,47,Democrat,Stone,2362
Ezell Lee,State Senate,47,Democrat,,5906
